id,type,brand,car_spaces,passengers,antiquity,drive_permission,electric
299,Lorry,Volvo,3,1,21,true,false
300,Van,Peugeot,5,5,14,true,false
301,Lorry,Mercedes-Benz,3,1,2,true,false
302,Van,Peugeot,5,5,11,true,false
303,Without_carnet,Aixam,2,2,24,false,false
304,Tractor,John Deere,1,1,8,true,false
305,Motorbyke,Aprilia,2,1,18,true,false
306,Van,Opel,6,5,9,true,false
307,Tractor,Claas,2,1,27,true,false
308,Lorry,Iveco,3,2,20,true,false
309,Lorry,Iveco,3,3,2,true,false
310,Lorry,Pegaso,3,3,18,true,false
311,Motorbyke,KTM,2,2,3,true,false
312,Van,Volkswagen,7,6,6,true,false
313,Without_carnet,Microcar,2,1,2,false,true
314,Van,Seat,8,8,11,true,false
315,Tractor,New Holland,1,1,24,true,false
316,Lorry,Pegaso,3,2,18,true,false
317,Lorry,Iveco,3,2,15,true,false
318,Tractor,Case,2,2,27,true,false
319,Car,Audi,3,2,15,true,false
320,Van,Nissan,8,8,0,true,false
321,Motorbyke,KTM,2,2,23,true,false
322,Van,Citroen,6,6,16,true,false
323,Without_carnet,Aixam,1,1,24,false,false
324,Without_carnet,Microcar,2,1,20,false,false
325,Car,Renault,4,2,21,true,false
326,Tractor,Claas,1,1,8,true,false
327,Without_carnet,Microcar,2,2,29,false,false
328,Motorbyke,Derbi,2,1,28,true,false
329,Van,Fiat,5,5,20,true,false
330,Van,Opel,8,5,29,true,false
331,Car,Ferrari,2,1,14,true,false
332,Motorbyke,Derbi,2,2,7,true,false
333,Van,Peugeot,6,5,13,true,false
334,Lorry,Iveco,3,1,30,true,false
335,Van,Seat,5,5,0,true,false
336,Without_carnet,Chatenet,2,1,21,false,false
337,Without_carnet,Ligier,1,1,2,false,true
338,Without_carnet,Chatenet,2,1,12,false,false
339,Lorry,Iveco,3,1,15,true,false
340,Motorbyke,Kawasaki,2,2,5,true,false
341,Tractor,Fendt,2,1,25,true,false
342,Lorry,Iveco,3,2,20,true,false
343,Motorbyke,Yamaha,1,1,7,true,false
344,Without_carnet,Chatenet,2,1,21,false,false
345,Car,Fiat,3,3,0,true,false
346,Tractor,New Holland,2,2,15,true,false
347,Lorry,Pegaso,3,1,11,true,true
348,Van,Renault,5,5,17,true,false
349,Car,McLaren,3,3,13,true,false
350,Without_carnet,Microcar,1,1,24,false,false
351,Car,Hyunday,5,4,3,true,false
352,Lorry,Volvo,3,3,30,true,false
353,Tractor,Ford,1,1,21,true,false
354,Without_carnet,Microcar,2,2,13,false,false
355,Tractor,Claas,1,1,5,true,false
356,Tractor,Lanz Bulldog,1,1,24,true,false
357,Motorbyke,Derbi,1,1,24,true,false
358,Tractor,Valtra,1,1,13,true,true
359,Motorbyke,Kawasaki,1,1,3,true,false
360,Lorry,Mercedes-Benz,3,1,27,true,false
361,Car,Mercedes-Benz,2,2,25,true,false
362,Van,Peugeot,7,6,22,true,false
363,Tractor,Ford,2,1,5,true,false
364,Without_carnet,Microcar,2,1,6,false,false
365,Car,Toyota,3,2,6,true,false
366,Motorbyke,Yamaha,2,2,12,true,false
367,Tractor,Case,2,2,26,true,false
368,Without_carnet,Chatenet,1,1,10,false,false
369,Lorry,Iveco,3,3,27,true,false
370,Tractor,Massey Ferguson,2,1,22,true,false
371,Tractor,Claas,1,1,14,true,false
372,Motorbyke,KTM,2,2,14,true,false
373,Van,Iveco,7,7,2,true,false
374,Car,Nissan,2,2,17,true,false
375,Motorbyke,Aprilia,1,1,23,true,false
376,Car,BMW,3,1,8,true,false
377,Tractor,Case,1,1,23,true,false
378,Van,Seat,6,5,10,true,false
379,Lorry,Agrale,3,1,4,true,false
380,Without_carnet,Microcar,2,2,13,false,false
381,Car,Ford,3,2,28,true,false
382,Car,Ford,4,3,12,true,false
383,Van,Mercedes-Benz,7,5,24,true,false
384,Lorry,Mercedes-Benz,3,1,6,true,false
385,Car,Audi,2,2,10,true,false
386,Lorry,Agrale,3,1,18,true,false
387,Without_carnet,Aixam,2,1,2,false,false
388,Tractor,New Holland,1,1,12,true,false
389,Lorry,Volvo,3,1,19,true,true
390,Motorbyke,Ducati,1,1,7,true,false
391,Van,Iveco,8,6,0,true,false
392,Van,Volkswagen,7,7,5,true,true
393,Tractor,Lanz Bulldog,1,1,22,true,false
394,Car,Ferrari,2,1,13,true,true
395,Van,Fiat,8,5,8,true,false
396,Van,Seat,6,6,15,true,false
397,Van,Dacia,7,7,11,true,false
398,Car,Nissan,2,2,17,true,false
399,Tractor,Deutz,1,1,2,true,false
400,Motorbyke,Derbi,2,1,24,true,false
401,Motorbyke,Harley Davidson,1,1,1,true,false
402,Motorbyke,Derbi,1,1,14,true,false
403,Tractor,New Holland,1,1,3,true,false
404,Motorbyke,Harley Davidson,1,1,26,true,false
405,Van,Renault,5,5,30,true,false
406,Van,Nissan,6,5,5,true,false
407,Motorbyke,Yamaha,1,1,22,true,false
408,Tractor,Deutz,2,2,29,true,false
409,Lorry,Iveco,3,1,30,true,true
410,Tractor,Ford,1,1,11,true,false
411,Without_carnet,Chatenet,2,2,20,false,false
412,Lorry,Iveco,3,2,15,true,false
413,Van,Toyota,8,6,20,true,false
414,Without_carnet,Microcar,1,1,5,false,false
415,Tractor,Massey Ferguson,1,1,28,true,false
416,Motorbyke,Aprilia,2,2,21,true,false
417,Motorbyke,Yamaha,2,1,14,true,false
418,Lorry,Volvo,3,3,21,true,false
419,Van,Iveco,7,7,18,true,false
420,Without_carnet,Chatenet,2,2,3,false,true
421,Without_carnet,Aixam,1,1,10,false,false
422,Car,Toyota,5,2,8,true,false
423,Van,Peugeot,7,6,18,true,false
424,Without_carnet,Ligier,2,2,23,false,false
425,Tractor,John Deere,2,2,2,true,false
426,Tractor,Fendt,2,1,17,true,false
427,Motorbyke,Harley Davidson,2,2,14,true,false
428,Lorry,Volvo,3,2,29,true,false
429,Without_carnet,Ligier,2,2,14,false,false
430,Car,Lexus,2,2,8,true,false
431,Lorry,Volvo,3,1,29,true,true
432,Lorry,Volvo,3,2,13,true,false
433,Car,Aston Martin,4,3,25,true,false
434,Van,Iveco,5,5,8,true,true
435,Van,Seat,5,5,17,true,false
436,Tractor,Deutz,2,2,26,true,false
437,Motorbyke,Kawasaki,1,1,27,true,false
438,Without_carnet,Microcar,1,1,27,false,false
439,Car,Honda,5,3,7,true,true
440,Without_carnet,Aixam,1,1,11,false,true
441,Lorry,Iveco,3,1,0,true,false
442,Motorbyke,KTM,2,1,17,true,true
443,Car,Citroen,2,2,2,true,false
444,Van,Nissan,5,5,11,true,false
445,Van,Peugeot,7,6,28,true,false
446,Tractor,Valtra,1,1,30,true,false
447,Without_carnet,Chatenet,2,2,13,false,false
448,Car,Renault,2,1,28,true,false
449,Motorbyke,Vespa,1,1,4,true,false
450,Tractor,Claas,2,1,26,true,false
451,Tractor,Massey Ferguson,1,1,27,true,false
452,Van,Peugeot,8,7,5,true,false
453,Tractor,Deutz,1,1,12,true,false
454,Lorry,Volvo,3,1,10,true,false
455,Lorry,Agrale,3,1,6,true,false
456,Lorry,Mercedes-Benz,3,2,10,true,false
457,Motorbyke,Harley Davidson,1,1,11,true,false
458,Lorry,Volvo,3,3,29,true,false
459,Without_carnet,Aixam,2,1,10,false,false
460,Without_carnet,Microcar,1,1,5,false,false
461,Van,Dacia,6,5,17,true,true
462,Lorry,Pegaso,3,3,13,true,false
463,Tractor,Valtra,2,1,27,true,false
464,Lorry,Iveco,3,2,11,true,false
465,Motorbyke,Kawasaki,1,1,1,true,false
466,Without_carnet,Aixam,1,1,16,false,false
467,Without_carnet,Microcar,2,1,4,false,false
468,Lorry,Agrale,3,2,17,true,true
469,Lorry,Mercedes-Benz,3,2,1,true,false
470,Tractor,Claas,2,1,16,true,false
471,Motorbyke,Derbi,2,2,22,true,false
472,Without_carnet,Aixam,1,1,9,false,false
473,Tractor,Deutz,1,1,11,true,false
474,Lorry,Volvo,3,2,4,true,false
475,Without_carnet,Aixam,1,1,29,false,false
476,Van,Volkswagen,7,6,15,true,false
477,Motorbyke,Aprilia,1,1,7,true,false
478,Motorbyke,Vespa,1,1,30,true,false
479,Van,Opel,8,5,2,true,false
480,Tractor,Deutz,1,1,4,true,false
481,Car,Koenigsegg,4,1,17,true,false
482,Motorbyke,KTM,2,1,21,true,false
483,Van,Iveco,6,5,21,true,false
484,Van,Renault,8,5,30,true,false
485,Without_carnet,Chatenet,1,1,1,false,false
486,Tractor,Deutz,2,2,4,true,false
487,Lorry,Volvo,3,2,24,true,false
488,Without_carnet,Aixam,2,1,28,false,false
489,Motorbyke,Derbi,2,2,14,true,false
490,Tractor,John Deere,1,1,23,true,false
491,Motorbyke,Yamaha,1,1,21,true,false
492,Motorbyke,Yamaha,1,1,23,true,false
493,Without_carnet,Microcar,1,1,11,false,false
494,Lorry,Pegaso,3,3,12,true,false
495,Motorbyke,Ducati,2,2,6,true,false
496,Car,Bentley,5,3,14,true,false
497,Van,Citroen,7,5,18,true,false
498,Motorbyke,Kawasaki,2,2,0,true,true
499,Lorry,Volvo,3,1,16,true,false
500,Motorbyke,KTM,1,1,26,true,false
501,Car,Mercedes-Benz,4,1,2,true,false
502,Lorry,Agrale,3,3,6,true,true
503,Without_carnet,Chatenet,2,1,5,false,false
504,Motorbyke,Aprilia,2,2,28,true,true
505,Car,McLaren,4,3,10,true,false
506,Lorry,Mercedes-Benz,3,2,6,true,false
507,Van,Iveco,6,5,13,true,false
508,Car,Volkswagen,2,1,21,true,false
509,Car,Jaguar,2,1,23,true,false
510,Motorbyke,Harley Davidson,2,2,22,true,false
511,Tractor,Fendt,2,1,24,true,false
512,Motorbyke,Aprilia,2,2,13,true,false
513,Motorbyke,Yamaha,1,1,22,true,false
514,Motorbyke,Kawasaki,1,1,25,true,false
515,Lorry,Iveco,3,1,16,true,false
516,Tractor,John Deere,2,1,19,true,false
517,Without_carnet,Aixam,1,1,21,false,false
518,Without_carnet,Chatenet,1,1,29,false,false
519,Tractor,Lanz Bulldog,1,1,10,true,false
520,Tractor,Fendt,1,1,22,true,false
521,Motorbyke,Harley Davidson,2,2,21,true,false
522,Car,Cadillac,5,3,25,true,false
523,Tractor,Lanz Bulldog,2,2,14,true,false
524,Tractor,New Holland,2,1,1,true,false
525,Lorry,Iveco,3,3,26,true,false
526,Without_carnet,Microcar,1,1,1,false,false
527,Motorbyke,Aprilia,1,1,1,true,false
528,Car,Bentley,5,2,7,true,false
529,Car,Mini,2,2,15,true,false
530,Lorry,Agrale,3,2,1,true,false
531,Without_carnet,Ligier,1,1,11,false,true
532,Lorry,Volvo,3,3,8,true,false
533,Motorbyke,Ducati,2,2,24,true,true
534,Without_carnet,Chatenet,2,2,6,false,false
535,Tractor,New Holland,2,2,16,true,false
536,Tractor,Fendt,2,2,3,true,true
537,Without_carnet,Ligier,2,2,21,false,false
538,Car,Koenigsegg,2,1,12,true,false
539,Lorry,Volvo,3,3,16,true,false
540,Motorbyke,Ducati,1,1,26,true,false
541,Car,Opel,4,4,6,true,false
542,Lorry,Pegaso,3,3,17,true,false
543,Car,Pagani,5,2,12,true,false
544,Car,Maserati,2,1,27,true,false
545,Without_carnet,Ligier,1,1,15,false,false
546,Van,Iveco,6,5,22,true,false
547,Van,Seat,6,5,12,true,false
548,Lorry,Agrale,3,2,25,true,false
549,Tractor,Deutz,1,1,14,true,false
550,Car,Ford,3,3,17,true,true
551,Car,Mitsubishi,2,2,0,true,true
552,Tractor,Deutz,1,1,18,true,false
553,Van,Iveco,8,8,11,true,false
554,Car,Mitsubishi,5,4,29,true,false
555,Without_carnet,Microcar,2,1,0,false,false
556,Lorry,Volvo,3,2,23,true,false
557,Tractor,Ford,1,1,20,true,false
558,Tractor,John Deere,1,1,10,true,false
559,Without_carnet,Ligier,2,2,13,false,false
560,Motorbyke,Vespa,2,1,27,true,false
561,Motorbyke,Harley Davidson,1,1,0,true,false
562,Van,Opel,5,5,6,true,false
563,Tractor,Claas,1,1,2,true,false
564,Van,Renault,6,5,8,true,false
565,Car,Audi,4,3,23,true,false
566,Van,Seat,8,7,4,true,false
567,Lorry,Pegaso,3,3,26,true,true
568,Car,Suzuki,5,3,1,true,false
569,Without_carnet,Aixam,2,2,30,false,true
570,Van,Fiat,8,5,13,true,false
571,Lorry,Pegaso,3,3,3,true,false
572,Lorry,Iveco,3,2,30,true,false
573,Lorry,Volvo,3,2,20,true,false
574,Motorbyke,Yamaha,1,1,4,true,false
575,Lorry,Agrale,3,3,25,true,false
576,Tractor,Valtra,1,1,9,true,false
577,Without_carnet,Chatenet,2,1,23,false,false
578,Tractor,Massey Ferguson,2,1,15,true,false
579,Tractor,Lanz Bulldog,1,1,9,true,false
580,Car,Jeep,5,1,9,true,false
581,Motorbyke,Harley Davidson,2,1,14,true,false
582,Motorbyke,Vespa,1,1,5,true,false
583,Without_carnet,Microcar,1,1,4,false,false
584,Without_carnet,Ligier,2,1,7,false,false
585,Car,Hyunday,3,3,1,true,false
586,Van,Citroen,6,6,11,true,false
587,Motorbyke,Ducati,1,1,16,true,false
588,Car,Porsche,2,2,26,true,false
589,Without_carnet,Microcar,1,1,5,false,false
590,Car,Acura,2,1,13,true,false
591,Tractor,Claas,1,1,27,true,false
592,Motorbyke,KTM,1,1,23,true,false
593,Motorbyke,Harley Davidson,1,1,29,true,false
594,Tractor,New Holland,2,2,13,true,false
595,Car,Koenigsegg,5,5,4,true,false
596,Tractor,Lanz Bulldog,2,1,29,true,true
597,Tractor,Lanz Bulldog,1,1,14,true,false
598,Tractor,Ford,2,2,4,true,false
599,Van,Toyota,6,6,15,true,false
600,Tractor,Claas,1,1,6,true,false
601,Without_carnet,Ligier,2,1,25,false,false
602,Lorry,Agrale,3,1,12,true,false
603,Motorbyke,Harley Davidson,2,2,2,true,false
604,Without_carnet,Aixam,1,1,21,false,false
605,Motorbyke,Kawasaki,1,1,17,true,false
606,Without_carnet,Ligier,2,1,0,false,false
607,Without_carnet,Ligier,1,1,19,false,false
608,Lorry,Volvo,3,3,18,true,false
609,Car,Cadillac,3,1,5,true,false
610,Without_carnet,Aixam,1,1,17,false,false
611,Car,Dodge,5,1,20,true,false
612,Van,Renault,5,5,3,true,false
613,Without_carnet,Chatenet,2,2,19,false,false
