age,sex,experience,previous_infractions,illness
49,1,18,7,0
27,1,3,8,0
26,1,4,6,0
60,0,29,1,1
52,0,11,6,0
19,0,0,9,0
32,0,0,10,1
34,0,6,3,0
41,0,14,0,0
60,1,17,6,0
51,0,26,8,0
64,1,22,1,1
80,0,48,7,0
46,1,14,6,0
68,0,7,8,0
66,0,6,9,1
44,0,1,0,1
78,0,38,8,0
35,0,13,7,0
70,1,36,10,0
82,1,47,10,0
70,0,39,3,0
47,0,19,9,0
76,0,14,8,1
52,0,17,1,0
65,1,37,6,1
70,1,44,8,0
76,1,33,6,0
49,0,30,2,0
36,1,7,1,0
82,1,2,1,1
50,0,28,4,0
44,1,19,9,0
34,0,16,7,0
22,1,3,2,0
32,0,0,8,0
44,1,8,0,0
39,1,5,5,0
83,0,30,0,0
21,1,1,9,0
50,1,21,0,0
49,0,27,6,0
84,0,26,6,0
37,0,6,4,0
45,1,15,7,0
42,0,4,0,0
63,1,45,5,0
52,1,30,6,0
47,0,29,0,1
29,1,8,2,0
18,1,0,8,0
70,0,18,4,0
60,0,0,5,0
24,0,3,0,0
50,0,9,4,0
20,0,1,9,0
69,0,37,4,0
59,1,38,1,0
65,1,27,0,0
59,0,25,7,0
36,0,8,10,0
82,1,46,5,0
23,0,1,6,0
56,0,3,8,0
34,1,7,0,1
28,1,8,2,0
22,1,2,8,0
35,0,7,4,1
62,0,31,1,0
76,0,19,1,0
23,1,0,6,0
25,1,7,4,0
64,0,40,9,0
18,0,0,6,0
80,0,28,4,0
79,1,17,10,0
50,1,25,3,0
50,0,4,2,1
74,0,25,7,0
76,0,30,6,0
70,1,36,6,1
76,0,14,4,0
21,1,2,6,0
27,1,9,1,1
70,1,36,5,0
66,1,0,2,1
54,1,14,10,0
64,1,26,0,1
48,0,22,0,0
24,1,1,1,0
49,0,2,1,0
58,0,9,3,0
54,1,11,5,1
30,1,0,8,1
50,1,11,3,1
37,0,7,3,0
51,0,18,10,0
82,1,33,10,0
71,0,1,0,0
52,0,20,5,1
52,0,30,9,0
77,0,8,7,1
84,0,65,9,1
85,1,31,4,0
23,0,4,6,0
53,1,16,10,0
38,1,16,9,0
29,1,2,1,0
79,0,45,7,0
59,0,14,6,0
19,0,0,1,1
23,0,0,3,0
28,1,3,4,0
36,0,8,1,1
85,1,59,4,0
81,0,53,10,0
64,1,8,4,1
58,0,7,9,0
64,1,18,7,0
78,0,9,10,1
52,0,24,9,1
59,0,36,5,0
58,0,32,8,0
64,0,0,9,0
45,1,12,10,0
21,1,3,3,0
48,0,15,4,0
70,0,21,0,0
33,0,1,7,0
47,1,24,9,0
69,0,51,6,0
48,1,15,4,0
66,0,3,4,1
70,1,3,6,0
46,1,20,0,0
37,1,0,4,0
61,1,35,1,0
29,1,3,5,1
52,1,7,7,0
28,1,10,5,0
75,0,23,1,0
54,0,23,5,0
71,1,1,3,0
39,1,13,4,0
46,0,5,5,1
77,1,37,10,0
25,1,2,0,0
50,0,11,3,0
57,1,1,10,0
74,1,41,7,1
52,1,27,10,0
74,1,12,9,0
52,1,0,0,1
45,1,4,2,0
73,1,12,1,0
26,1,3,0,0
28,1,0,7,0
73,0,4,7,1
28,0,9,2,0
62,1,14,2,1
22,0,3,7,0
34,0,7,6,0
35,1,3,9,1
54,0,34,0,0
28,0,2,6,0
66,0,41,5,0
73,1,29,9,0
81,1,15,10,0
25,0,1,9,0
60,1,19,6,0
54,0,29,7,0
81,1,26,7,0
61,0,14,4,0
39,0,14,7,0
32,0,9,4,0
76,1,10,0,0
32,0,3,5,0
75,1,57,9,0
70,1,47,1,1
33,1,0,5,0
21,1,2,7,0
68,0,1,5,0
19,0,1,1,0
83,0,65,4,0
44,0,17,10,1
53,0,8,1,1
60,0,22,0,0
60,1,36,3,1
78,1,38,9,0
28,0,9,0,0
22,0,2,1,0
70,1,50,9,0
19,1,0,2,0
61,0,8,9,0
26,0,8,0,0
37,0,15,3,0
43,0,11,1,1
67,1,7,4,0
53,1,32,2,0
23,0,4,8,0
20,0,2,8,0
79,0,37,0,0
59,0,28,7,0
18,1,0,7,1
83,1,22,3,0
68,1,48,8,0
44,1,5,10,0
55,1,27,10,1
81,0,24,6,0
73,0,41,5,0
58,1,23,6,0
62,1,31,3,0
74,0,45,0,0
18,1,0,8,0
47,0,5,10,0
24,0,1,6,0
65,1,40,10,0
56,0,32,5,0
45,0,14,4,0
25,0,3,9,0
27,0,1,3,0
19,0,0,6,0
63,0,39,1,0
35,0,13,1,0
79,0,55,4,0
85,1,25,0,0
76,1,10,8,0
63,0,31,9,0
40,0,8,0,0
58,1,16,2,1
70,1,34,1,0
68,1,34,4,1
42,1,19,2,0
33,1,9,0,1
30,1,2,10,0
58,1,1,3,0
58,1,9,3,0
73,1,18,0,0
39,0,9,0,1
50,0,11,6,0
84,0,27,1,0
55,1,33,10,0
48,1,13,1,0
36,1,0,7,1
47,1,18,5,1
77,1,34,2,0
52,0,29,9,0
45,1,18,9,0
68,0,37,2,0
62,1,17,9,0
40,0,5,0,0
21,1,3,7,0
46,0,0,3,0
34,1,5,0,1
24,1,6,8,0
35,0,14,5,0
54,1,27,9,0
81,1,50,5,0
52,0,1,10,0
82,0,36,7,1
60,1,34,8,0
38,1,11,7,0
72,1,10,4,0
50,0,20,1,1
54,0,34,0,0
43,1,9,1,0
20,1,2,9,1
55,1,4,6,0
52,1,2,0,0
39,1,1,7,0
21,0,0,3,0
38,1,10,8,0
61,1,25,2,0
37,1,16,10,0
32,0,9,5,0
35,1,16,2,0
82,1,19,6,0
72,1,32,8,1
44,1,20,1,0
40,1,17,3,0
65,1,15,4,0
48,1,19,7,0
46,0,17,4,0
66,1,1,6,0
79,1,21,7,0
31,0,0,3,0
70,0,34,10,0
25,0,3,7,0
64,1,27,5,1
51,0,5,10,0
73,0,33,3,0
54,1,30,9,1
35,1,4,9,0
25,0,5,2,0
47,0,23,0,1
29,0,11,8,0
37,0,7,0,0
24,0,1,0,0
59,1,12,1,0
19,0,1,8,0
47,0,8,3,0
60,1,36,5,0
57,1,1,2,0
20,1,2,6,1
58,1,5,2,0
59,0,17,3,0
59,1,36,4,0
20,1,1,2,0
60,0,22,8,0
62,0,9,5,1
80,0,29,3,0
34,1,13,3,0
57,1,12,2,0
48,1,25,3,0
24,1,0,7,0
18,1,0,10,0
52,0,14,2,0
43,0,1,6,1
40,1,14,7,1
18,0,0,3,0
21,0,3,0,0
35,0,14,9,0
62,1,27,2,0
37,0,2,2,0
32,1,13,8,0
62,1,24,1,0
85,0,49,5,0
48,0,2,4,0
84,0,62,0,1
79,1,15,9,0
28,1,7,5,0
19,1,0,3,0
60,1,6,0,0
60,0,0,3,0
19,1,0,4,0
82,1,19,9,1
52,1,5,0,0
76,0,8,10,0
63,0,12,3,0
63,1,21,0,0
55,0,7,5,0
85,1,14,8,0
34,0,10,10,0
70,0,33,5,0
23,1,5,2,0
33,1,3,10,0
83,0,63,2,0
45,0,14,9,0
19,0,0,8,0
60,0,24,2,0
55,1,17,5,0
48,1,5,1,0
57,1,14,6,0
82,0,15,2,0
67,1,27,4,0
57,1,2,0,0
47,0,19,3,0
51,0,13,9,0
79,0,29,1,0
70,0,48,10,0
80,1,51,8,0
73,1,54,6,0
65,1,24,3,0
61,0,16,4,0
51,1,8,10,0
69,0,13,4,0
31,0,3,5,0
43,1,18,2,0
44,0,24,7,0
49,1,19,6,0
75,0,41,1,1
23,0,2,1,0
82,1,19,3,0
45,0,5,10,0
77,1,28,1,0
32,1,6,5,0
35,0,4,2,0
58,0,40,5,0
66,0,34,10,0
44,1,1,10,1
31,0,6,0,0
40,0,22,8,0
73,0,9,1,0
52,0,2,6,0
74,0,1,8,1
85,0,29,0,0
41,1,4,5,0
77,1,36,7,0
71,0,19,3,0
32,0,11,7,0
43,0,6,8,0
47,1,24,4,0
24,0,4,4,0
21,1,3,10,0
55,0,36,2,1
84,1,36,3,0
27,1,9,4,1
37,1,14,1,0
67,1,34,8,0
38,1,12,2,0
48,1,4,3,0
29,0,3,4,0
36,0,1,6,0
64,0,12,9,0
37,1,5,8,0
57,1,22,5,0
34,1,0,0,0
21,1,1,1,0
28,0,2,0,0
79,0,59,1,0
74,1,10,10,0
62,0,42,8,0
79,1,11,5,0
78,1,7,0,0
65,1,33,6,0
68,1,21,0,0
36,0,10,8,0
45,1,9,1,0
80,1,24,9,1
59,1,17,1,0
33,0,0,0,0
61,1,8,10,0
65,1,12,3,0
19,1,0,2,0
73,0,0,10,0
74,0,11,1,0
76,1,4,9,0
23,0,3,4,1
56,1,24,8,0
61,1,21,3,0
55,1,9,1,0
39,1,18,4,0
80,1,24,7,0
18,1,0,0,0
80,0,55,4,0
20,1,2,3,0
81,0,6,8,0
44,1,10,2,1
75,0,51,0,0
57,1,1,5,0
47,0,6,1,0
54,0,26,10,0
51,0,0,9,0
76,0,1,8,0
57,0,16,4,0
27,1,5,3,0
43,0,10,10,1
24,1,4,7,1
81,1,13,8,1
76,0,13,5,0
28,0,5,10,0
42,0,11,9,0
38,1,17,6,0
32,1,7,4,0
41,1,0,4,0
83,0,24,2,1
22,1,4,9,1
57,1,7,10,0
83,0,33,2,0
49,1,7,8,0
28,0,3,6,0
48,1,5,10,0
63,0,35,5,0
73,1,23,3,0
24,1,4,8,1
55,0,4,2,1
25,1,4,1,0
51,0,27,3,1
37,0,6,8,1
25,1,6,6,0
79,0,1,6,1
61,1,15,4,1
35,1,11,8,0
41,1,23,0,0
73,0,0,1,1
55,0,8,2,0
28,0,4,9,0
36,1,8,5,0
70,1,28,6,0
81,1,36,5,1
30,0,12,7,0
22,1,1,3,0
54,1,11,8,1
21,0,3,4,0
36,0,17,7,0
65,1,44,5,1
24,1,3,5,0
22,0,2,6,0
55,0,6,7,1
48,0,26,1,1
80,1,25,9,1
58,1,7,9,0
33,0,11,6,0
34,1,8,10,1
47,1,6,1,0
63,1,17,8,0
24,1,5,7,1
62,1,17,5,0
82,1,60,6,0
78,1,20,9,0
25,1,4,5,0
41,0,13,7,0
45,1,17,4,0
70,0,30,2,0
40,0,20,6,0
27,0,9,0,0
26,0,7,0,0
24,0,3,1,0
25,0,5,9,0
18,0,0,6,0
69,0,41,6,0
81,1,55,10,0
65,1,3,7,0
48,1,8,8,0
32,0,6,6,0
29,0,11,10,0
42,1,13,9,0
56,0,8,6,0
63,1,4,1,0
71,1,17,5,0
43,0,0,6,0
35,1,6,2,1
41,0,4,0,1
25,1,2,1,0
76,0,15,2,0
64,0,32,8,0
52,1,23,5,0
50,1,4,4,0
21,1,1,9,0
70,0,2,10,0
30,0,4,10,0
65,0,23,2,0
39,0,19,2,1
25,0,7,7,0
77,1,29,8,0
38,1,4,8,0
50,1,17,2,0
36,1,11,9,0
18,0,0,0,0
85,0,14,5,0
60,0,20,1,1
33,1,7,6,0
69,1,10,9,1
61,0,14,1,0
54,1,14,2,0
18,0,0,3,0
23,0,2,2,0
76,0,51,10,0
32,0,9,9,1
52,0,26,2,1
82,1,4,10,0
55,1,7,3,0
44,0,3,10,0
43,0,3,5,1
64,0,9,5,1
85,1,39,8,0
33,0,8,9,0
67,0,18,8,0
80,0,16,2,0
82,1,22,1,0
83,0,41,9,0
30,0,9,10,0
61,1,17,5,0
44,1,24,5,0
34,0,11,2,0
46,1,8,8,0
71,0,24,3,0
42,0,2,7,0
39,1,4,3,0
19,0,1,3,0
22,0,3,10,0
27,0,5,7,0
83,1,49,10,0
78,1,32,2,0
24,1,6,10,1
53,1,10,3,0
63,0,32,2,0
21,1,0,7,0
32,0,0,2,0
81,0,56,5,0
66,1,39,6,0
23,1,3,10,1
27,1,8,8,0
47,0,26,0,0
30,1,9,7,0
68,0,15,8,1
39,1,8,9,1
21,1,0,1,0
69,0,13,6,0
56,1,30,3,0
31,1,9,9,0
56,0,30,0,0
35,0,11,10,0
84,0,24,2,1
57,0,33,5,0
81,1,20,4,0
38,1,16,6,0
68,1,26,8,1
50,0,2,1,0
28,0,7,0,0
54,0,12,9,0
22,0,0,2,0
77,1,3,9,0
79,0,14,8,1
21,0,2,0,0
63,1,25,5,0
70,0,43,0,0
66,0,32,3,1
37,1,10,6,1
59,0,40,9,1
30,0,2,3,0
26,1,8,0,0
56,0,9,2,0
27,0,5,0,0
19,1,1,9,0
56,1,5,4,1
21,1,2,9,0
63,1,3,6,0
40,0,9,2,0
66,1,17,0,0
66,0,0,1,0
21,0,1,7,0
60,1,41,7,0
42,1,16,7,1
55,1,14,1,1
27,0,1,0,0
27,1,3,6,0
32,1,0,8,0
83,0,16,0,0
19,0,1,6,1
19,0,0,7,0
48,1,16,3,0
85,1,64,6,1
26,1,6,4,0
25,1,4,4,1
20,1,0,8,0
84,1,21,2,0
80,1,28,1,0
24,0,6,0,0
19,1,1,10,0
75,0,3,5,0
46,0,23,6,1
41,1,5,9,0
23,1,0,10,0
33,1,4,4,0
51,1,22,6,0
32,0,9,2,0
29,0,11,7,0
84,1,11,8,1
73,0,44,2,1
52,0,9,4,0
84,0,12,8,0
42,1,12,7,0
81,0,17,7,0
59,1,25,7,0
53,1,6,0,0
60,1,14,8,1
26,1,1,8,0
61,1,21,10,0
50,0,2,6,0
37,1,16,2,1
47,0,9,10,0
71,1,1,3,0
31,1,3,10,0
21,0,2,1,0
33,0,5,1,0
37,1,11,8,0
27,0,0,10,1
32,0,14,10,0
32,0,11,10,0
28,1,7,0,0
55,0,28,4,1
34,1,10,5,0
29,0,3,0,1
34,0,1,7,0
38,1,10,0,0
42,0,23,8,0
31,0,9,1,0
49,0,16,3,0
26,1,2,5,0
84,0,22,0,0
66,1,2,10,1
41,1,17,2,0
23,0,4,3,0
26,1,8,0,0
76,0,35,2,0
34,1,3,5,0
49,0,3,8,0
67,1,39,0,0
83,1,38,0,0
39,0,4,7,0
75,1,40,0,0
71,1,31,7,0
48,0,24,9,0
23,0,4,2,0
61,1,37,0,0
46,0,21,1,1
29,0,7,0,0
53,0,5,6,0
39,0,17,7,1
66,0,43,9,0
44,0,21,4,0
32,0,8,1,0
54,1,16,5,0
35,1,16,8,0
28,0,0,0,0
54,1,2,1,0
63,0,16,4,0
28,0,1,4,0
55,0,36,8,0
52,0,30,6,1
31,1,12,7,0
33,1,10,8,0
20,0,1,6,0
71,1,31,4,0
27,0,2,1,0
58,0,17,1,0
77,0,21,8,0
27,0,9,9,0
80,0,40,3,0
65,1,18,7,0
72,0,8,2,0
77,1,10,4,0
55,1,5,1,0
62,0,26,5,1
30,0,0,0,0
56,1,4,2,1
69,1,27,2,1
61,0,0,5,1
47,1,20,7,0
36,1,1,2,0
85,0,57,6,0
49,0,18,0,1
34,0,8,7,0
22,1,3,7,0
18,0,0,4,0
44,1,7,3,1
37,1,16,9,1
66,0,45,8,0
34,0,0,1,0
20,1,0,3,0
38,0,12,4,0
18,0,0,8,0
65,0,14,4,0
36,0,6,5,0
20,1,0,2,0
31,0,11,4,1
31,0,3,7,1
77,0,10,1,0
29,0,11,5,1
72,0,21,8,0
77,0,47,7,0
25,1,4,9,0
45,0,14,7,1
73,1,27,10,0
31,1,1,6,0
78,0,16,3,0
66,0,14,0,1
19,0,1,10,0
68,1,0,0,1
46,0,6,5,0
41,0,3,9,1
57,0,35,6,0
19,0,1,2,0
49,1,4,0,0
26,1,4,8,0
83,1,4,5,0
80,0,51,6,0
63,0,4,5,0
52,0,5,6,1
29,0,9,1,0
80,0,10,2,0
38,0,12,5,1
21,1,1,4,1
38,1,5,0,1
23,1,5,7,1
61,1,35,9,0
18,0,0,4,0
68,0,18,0,0
19,0,1,7,0
22,1,4,7,0
73,1,45,9,0
53,0,32,9,1
42,0,8,9,1
70,1,47,9,0
80,0,9,3,0
33,1,1,4,0
32,1,5,1,0
74,1,56,3,0
43,0,22,3,1
27,1,7,2,0
42,1,15,1,0
85,0,42,0,0
53,1,10,4,1
31,0,8,0,0
84,0,8,2,0
56,0,14,9,0
70,0,14,5,1
78,0,5,0,0
35,1,2,7,0
58,1,2,9,0
77,0,38,10,1
62,0,11,9,0
51,1,33,9,0
75,0,25,8,0
84,0,37,10,0
41,1,11,4,1
41,0,8,5,0
52,1,28,5,0
60,0,10,6,0
78,1,48,2,0
50,0,11,6,0
36,0,7,0,1
65,1,7,9,0
85,1,16,9,0
80,0,37,9,0
65,1,7,0,0
38,1,16,4,0
39,0,8,0,1
23,1,2,2,1
58,0,29,6,0
36,0,5,6,0
78,1,41,4,0
36,0,12,4,0
45,0,27,6,0
59,1,5,8,0
33,0,11,9,0
83,1,4,9,0
18,1,0,1,0
37,1,17,5,0
70,0,33,8,0
21,0,2,8,1
80,0,46,4,0
76,0,17,9,0
51,1,7,5,1
57,0,34,8,0
78,0,36,3,0
42,1,1,7,0
20,0,1,2,1
65,1,18,1,0
64,1,7,10,0
32,0,11,4,0
25,1,1,7,1
44,1,22,0,0
29,1,2,1,0
73,0,28,6,0
73,0,4,2,0
68,1,48,6,0
48,1,10,5,0
57,0,25,1,0
31,1,0,2,0
35,0,5,10,1
68,1,22,9,0
64,0,25,6,1
73,0,24,4,0
55,0,30,2,1
68,0,36,5,0
82,0,35,6,0
79,0,35,3,0
21,1,3,0,0
84,0,1,9,1
18,1,0,3,1
26,1,2,2,1
57,1,27,5,1
77,0,46,7,0
21,0,2,7,0
43,0,18,7,0
75,1,19,9,1
81,1,40,5,0
20,0,0,9,0
64,0,16,3,0
25,1,4,6,0
24,1,0,0,0
43,1,1,2,0
72,1,33,4,0
53,1,14,10,0
58,0,24,7,0
70,1,14,8,0
32,1,5,8,1
45,1,0,0,0
84,1,60,0,0
30,1,8,4,0
21,0,2,3,0
57,1,19,3,0
84,0,16,5,0
56,0,12,10,1
27,1,2,4,0
62,0,11,0,0
48,0,21,0,0
73,1,16,8,0
75,1,0,5,0
70,1,17,10,0
43,0,11,1,0
47,0,15,6,0
45,0,9,2,1
50,0,8,1,1
61,0,0,10,0
55,1,27,5,0
82,1,57,3,0
69,1,36,1,0
27,1,4,1,0
25,0,0,8,0
69,0,21,1,0
29,0,3,8,0
82,1,16,6,0
26,0,4,1,0
28,0,2,4,0
64,1,25,0,0
78,0,1,3,1
58,0,5,8,0
54,0,4,7,0
36,0,11,7,0
80,1,24,8,0
76,1,24,7,0
20,0,1,6,1
57,0,12,4,0
54,0,32,4,0
42,1,19,7,0
24,0,1,10,0
28,0,7,3,0
40,0,4,9,0
79,1,19,5,0
82,1,16,1,0
54,1,24,6,0
49,0,24,2,0
41,1,16,3,1
30,1,4,6,0
66,1,38,4,0
58,0,21,6,0
72,1,1,7,0
69,0,31,7,0
21,0,1,5,0
54,1,16,5,0
51,1,13,0,0
39,1,6,3,0
24,0,3,8,0
23,0,1,1,1
57,0,26,0,1
27,1,6,9,1
35,1,15,6,0
61,1,7,3,0
24,1,0,7,1
38,0,4,5,0
43,1,6,1,0
55,0,4,4,0
71,0,33,1,0
31,1,6,9,0
22,0,1,5,1
38,1,11,7,0
56,0,38,10,0
78,1,36,5,1
37,0,9,2,0
35,1,15,2,0
80,1,37,7,0
27,1,2,1,0
80,1,41,4,0
59,1,4,5,0
63,0,33,5,1
26,1,1,9,0
28,0,9,1,0
37,0,4,4,0
28,1,8,8,0
67,1,8,1,1
58,0,2,1,0
55,0,37,10,0
60,1,41,5,0
65,1,47,10,0
29,1,9,1,0
43,1,6,0,0
82,1,21,4,0
77,1,30,6,0
64,0,42,4,1
82,1,18,6,1
70,0,45,1,0
18,0,0,8,0
74,0,55,8,0
81,0,12,3,1
27,1,7,8,1
60,0,38,2,0
58,1,15,1,0
29,1,5,2,0
34,0,2,3,1
25,1,0,3,1
45,0,13,9,0
70,1,25,9,1
46,1,20,0,0
25,1,5,6,0
77,0,43,10,1
70,1,17,10,0
73,1,36,1,1
43,1,22,8,0
31,1,6,10,0
76,1,54,2,1
51,1,27,9,0
58,0,23,9,0
19,0,0,0,0
51,1,21,2,1
83,0,29,9,0
56,1,8,6,0
57,0,30,8,0
42,1,22,3,0
33,1,13,4,0
64,0,9,4,0
68,1,2,1,1
26,1,6,8,1
75,1,53,0,0
54,0,14,10,0
39,1,7,4,0
58,0,33,2,0
58,0,9,1,0
36,1,5,2,0
29,1,9,1,0
83,0,28,6,0
73,1,42,4,0
23,0,2,4,0
57,1,4,8,1
52,0,13,6,0
69,0,36,7,0
66,1,14,1,0
46,1,18,8,0
33,0,7,7,0
57,1,21,9,0
48,0,7,8,0
34,1,7,7,0
61,1,19,7,1
44,0,1,7,1
78,1,46,3,0
52,1,32,9,0
36,1,11,7,0
20,0,2,7,0
62,1,23,2,0
76,0,12,3,0
63,1,7,2,0
48,0,20,1,0
85,0,36,1,0
33,1,6,9,0
52,1,26,7,0
26,1,6,4,0
29,1,10,7,1
32,1,0,2,1
71,1,23,10,0
62,0,0,4,0
76,1,35,5,0
74,1,5,4,0
79,0,16,9,0
67,1,9,2,0
42,1,1,7,0
21,0,2,3,0
45,0,2,1,0
29,0,7,10,0
25,1,7,8,0
72,0,6,1,0
53,0,8,0,1
26,0,7,3,1
78,0,31,5,0
50,0,2,10,0
83,1,36,5,1
44,1,20,10,0
26,0,0,5,0
49,1,25,1,0
67,0,37,9,0
38,0,0,1,0
52,0,29,9,0
59,0,29,2,0
82,1,62,4,0
58,1,25,7,0
65,0,12,2,1
26,1,7,2,0
73,0,18,5,0
52,1,28,0,0
70,1,37,6,1
85,0,1,8,0
66,1,14,6,0
38,0,2,7,0
76,0,50,1,0
82,1,61,5,0
58,1,33,9,0
26,1,3,0,0
19,1,0,2,0
55,1,3,3,1
27,1,9,5,1
72,0,45,10,0
80,0,44,10,1
71,1,19,5,0
23,1,0,9,0
42,1,10,4,1
67,0,44,7,1
54,0,22,2,0
48,1,13,8,0
27,1,7,7,0
52,0,16,0,0
36,0,15,6,0
54,1,31,3,0
77,0,29,0,0
62,0,29,8,0
56,1,31,2,1
61,1,33,0,1
59,0,24,3,0
28,0,10,2,0
80,0,35,2,1
50,1,32,2,1
44,0,0,3,0
38,1,7,9,1
52,1,11,0,1
45,1,9,3,0
38,1,9,6,1
57,0,6,5,0
68,0,6,4,1
21,0,0,4,0
82,1,63,5,0
46,0,13,7,0
78,1,18,6,0
66,0,25,2,1
72,1,42,7,0
61,0,14,0,0
84,1,19,8,1
33,0,1,3,1
30,1,4,7,0
63,0,14,1,0
18,1,0,3,0
28,0,10,2,1
47,1,16,5,0
35,0,0,9,0
60,0,34,8,0
38,0,13,2,0
23,1,2,0,1
40,0,7,0,0
22,0,4,4,1
59,1,10,1,1
82,1,47,7,1
43,0,4,8,0
27,1,6,6,0
46,1,0,10,0
37,1,17,2,0
40,0,15,1,0
53,0,27,9,0
58,1,17,3,0
77,1,26,7,0
42,0,18,5,1
58,0,38,7,0
29,0,3,2,1
42,1,18,10,0
25,0,0,5,0
72,0,39,6,0
65,0,34,8,0
48,0,5,2,0
64,1,4,0,0
68,1,49,9,0
34,0,8,10,0
30,0,5,8,1
73,0,13,8,0
34,0,10,2,0
67,1,41,0,0
61,1,34,3,0
63,0,14,9,0
27,0,5,4,1
54,1,18,6,0
78,0,12,3,0
54,1,29,4,1
56,1,20,6,1
82,1,55,5,0
31,1,6,1,0
18,1,0,4,0
46,0,1,6,0
47,1,23,8,0
81,1,20,0,1
39,0,16,2,0
55,1,36,5,0
45,0,18,10,0
28,1,4,3,0
21,0,1,3,0
52,1,4,0,0
33,0,13,8,0
38,0,13,4,0
68,1,44,9,0
72,1,8,0,1
51,1,10,7,0
22,1,3,5,1
45,0,14,0,0
27,0,4,10,0
53,1,7,5,0
49,0,13,10,0
56,0,4,0,0
48,0,19,3,0
42,1,0,2,0
52,0,32,4,0
23,0,2,7,0
64,0,15,10,0
33,1,9,8,0
43,1,6,7,0
56,0,9,5,0
75,0,15,10,0
68,1,36,5,1
40,1,1,10,0
20,1,0,8,1
40,0,2,10,1
25,1,2,9,0
44,1,26,1,0
71,0,15,7,0
35,1,13,3,0
