id,type,brand,car_spaces,passengers,antiquity,drive_permission,electric
109,Without_carnet,Aixam,1,1,13,0,0
110,Van,Fiat,7,5,9,1,0
111,Without_carnet,Aixam,2,2,21,0,0
112,Van,Fiat,8,6,13,1,0
113,Tractor,Valtra,1,1,2,1,0
114,Car,Renault,3,2,11,1,1
115,Tractor,Case,1,1,29,1,0
116,Motorbyke,Harley Davidson,1,1,25,1,0
117,Without_carnet,Aixam,1,1,14,0,0
118,Without_carnet,Chatenet,2,2,20,0,0
119,Van,Fiat,7,6,24,1,0
120,Tractor,Case,1,1,1,1,0
121,Without_carnet,Microcar,2,2,16,0,0
122,Motorbyke,KTM,1,1,5,1,0
123,Motorbyke,KTM,2,1,19,1,0
124,Tractor,Claas,1,1,1,1,0
125,Lorry,Mercedes-Benz,3,1,20,1,0
126,Car,Subaru,4,2,7,1,0
127,Without_carnet,Ligier,1,1,14,0,1
128,Lorry,Iveco,3,1,29,1,0
129,Without_carnet,Aixam,1,1,14,0,0
130,Car,Rolls Royce,2,2,25,1,0
131,Car,Mazda,5,4,23,1,1
132,Lorry,Mercedes-Benz,3,2,29,1,0
133,Tractor,Valtra,1,1,4,1,0
134,Without_carnet,Microcar,1,1,30,0,0
135,Lorry,Iveco,3,1,22,1,0
136,Car,Hyunday,5,4,13,1,0
137,Car,Mercedes-Benz,5,2,23,1,1
138,Tractor,Case,2,1,8,1,0
139,Motorbyke,Yamaha,1,1,9,1,0
140,Tractor,Massey Ferguson,2,1,0,1,0
141,Tractor,Valtra,2,1,27,1,0
142,Van,Dacia,5,5,25,1,0
143,Motorbyke,Vespa,1,1,24,1,0
144,Motorbyke,Vespa,1,1,28,1,0
145,Without_carnet,Chatenet,2,1,30,0,0
146,Lorry,Agrale,3,2,2,1,0
147,Tractor,John Deere,1,1,18,1,0
148,Car,Mitsubishi,4,2,16,1,0
149,Without_carnet,Chatenet,2,1,18,0,0
150,Car,Volkswagen,5,2,22,1,0
151,Motorbyke,Kawasaki,2,2,25,1,0
152,Motorbyke,Derbi,2,2,18,1,0
153,Lorry,Pegaso,3,1,28,1,0
154,Without_carnet,Aixam,2,1,17,0,0
155,Without_carnet,Ligier,1,1,24,0,0
156,Car,Dodge,4,1,4,1,0
157,Motorbyke,Harley Davidson,1,1,5,1,0
158,Van,Iveco,7,6,1,1,0
159,Motorbyke,Kawasaki,1,1,13,1,0
160,Tractor,Deutz,2,1,1,1,0
161,Motorbyke,Yamaha,1,1,26,1,0
162,Without_carnet,Aixam,1,1,26,0,0
163,Car,Bentley,5,3,26,1,0
164,Without_carnet,Ligier,1,1,24,0,1
165,Van,Opel,5,5,14,1,0
166,Tractor,Deutz,1,1,15,1,0
167,Without_carnet,Aixam,2,2,1,0,0
168,Car,KIA,2,1,5,1,0
169,Lorry,Iveco,3,1,24,1,0
170,Car,Subaru,4,4,15,1,1
171,Van,Mercedes-Benz,8,5,12,1,0
172,Tractor,Ford,1,1,11,1,0
173,Without_carnet,Ligier,2,1,7,0,0
174,Car,McLaren,3,3,9,1,0
175,Lorry,Mercedes-Benz,3,3,12,1,0
176,Van,Opel,7,5,23,1,0
177,Without_carnet,Chatenet,2,2,28,0,0
178,Van,Ford,7,6,0,1,0
179,Van,Iveco,5,5,2,1,0
180,Motorbyke,Harley Davidson,2,2,30,1,0
181,Tractor,New Holland,1,1,9,1,0
182,Lorry,Mercedes-Benz,3,1,2,1,0
183,Tractor,Lanz Bulldog,2,1,13,1,0
184,Van,Dacia,7,5,8,1,0
185,Car,Koenigsegg,5,5,5,1,0
186,Motorbyke,Yamaha,2,2,20,1,0
187,Motorbyke,Kawasaki,1,1,24,1,1
188,Lorry,Pegaso,3,1,23,1,0
189,Van,Nissan,8,7,28,1,0
190,Lorry,Mercedes-Benz,3,3,19,1,0
191,Tractor,Case,2,2,13,1,1
192,Car,Lamborgini,2,2,8,1,0
193,Car,Opel,2,2,4,1,0
194,Motorbyke,Ducati,2,1,26,1,0
195,Van,Opel,7,5,25,1,0
196,Van,Volkswagen,6,6,23,1,0
197,Without_carnet,Ligier,1,1,24,0,0
198,Motorbyke,Harley Davidson,2,1,30,1,0
199,Car,Hyunday,3,1,30,1,1
200,Van,Citroen,7,7,23,1,0
201,Tractor,Case,2,2,7,1,0
202,Tractor,Deutz,1,1,16,1,1
203,Tractor,John Deere,1,1,6,1,0
204,Lorry,Mercedes-Benz,3,1,23,1,0
205,Motorbyke,Vespa,2,1,11,1,0
206,Tractor,Ford,2,2,29,1,0
207,Car,Koenigsegg,2,2,8,1,0
208,Tractor,Lanz Bulldog,1,1,13,1,0
209,Car,Opel,5,3,3,1,1
210,Tractor,New Holland,2,2,28,1,0
211,Lorry,Iveco,3,1,9,1,0
212,Without_carnet,Chatenet,1,1,4,0,0
213,Without_carnet,Ligier,2,2,23,0,0
214,Van,Seat,8,5,29,1,0
215,Car,Jeep,3,2,15,1,0
216,Without_carnet,Microcar,1,1,7,0,0
217,Van,Dacia,7,7,23,1,0
218,Tractor,Fendt,1,1,7,1,0
219,Van,Mercedes-Benz,5,5,24,1,0
220,Car,Maserati,5,3,8,1,1
221,Van,Dacia,8,7,30,1,0
222,Tractor,New Holland,2,1,9,1,0
223,Motorbyke,Derbi,1,1,19,1,1
224,Without_carnet,Ligier,2,2,1,0,1
225,Car,Mercedes-Benz,4,4,18,1,0
226,Car,Infiniti,2,1,0,1,0
227,Car,Mazda,3,2,22,1,0
228,Tractor,Lanz Bulldog,2,2,19,1,0
229,Car,Saab,5,4,0,1,0
230,Van,Opel,7,7,27,1,0
231,Motorbyke,Aprilia,2,1,6,1,0
232,Tractor,Valtra,1,1,15,1,0
233,Motorbyke,Harley Davidson,1,1,13,1,0
234,Car,Maserati,3,3,29,1,1
235,Car,Cadillac,5,1,15,1,0
236,Lorry,Pegaso,3,3,21,1,1
237,Motorbyke,Vespa,2,1,4,1,0
238,Car,Ferrari,4,2,5,1,0
239,Without_carnet,Chatenet,2,2,26,0,0
240,Without_carnet,Aixam,2,2,5,0,0
241,Lorry,Agrale,3,1,14,1,0
242,Tractor,Case,2,2,13,1,0
243,Lorry,Volvo,3,3,28,1,0
244,Without_carnet,Chatenet,2,2,26,0,0
245,Car,Mercedes-Benz,2,1,17,1,0
246,Without_carnet,Ligier,1,1,11,0,0
247,Van,Fiat,8,5,5,1,0
248,Without_carnet,Ligier,2,2,2,0,0
249,Tractor,Deutz,2,1,29,1,0
250,Car,Land Rover,2,2,15,1,0
251,Motorbyke,Kawasaki,1,1,16,1,0
252,Without_carnet,Ligier,2,1,28,0,0
253,Car,Tesla,4,3,21,1,0
254,Lorry,Agrale,3,2,25,1,0
255,Tractor,New Holland,2,1,11,1,0
256,Car,Dodge,4,2,12,1,0
257,Van,Mercedes-Benz,6,6,11,1,0
258,Tractor,Valtra,1,1,22,1,0
259,Motorbyke,KTM,1,1,21,1,0
260,Lorry,Mercedes-Benz,3,2,3,1,0
261,Car,Mazda,3,1,18,1,1
262,Without_carnet,Chatenet,1,1,23,0,0
263,Car,Alfa Romeo,2,1,15,1,0
264,Tractor,John Deere,2,1,26,1,0
265,Tractor,John Deere,2,2,23,1,0
266,Car,Jaguar,5,1,18,1,0
267,Without_carnet,Aixam,2,1,24,0,0
268,Car,Ferrari,5,1,26,1,0
269,Car,Alfa Romeo,2,2,2,1,0
270,Van,Ford,7,5,23,1,0
271,Without_carnet,Microcar,2,2,22,0,0
272,Motorbyke,Yamaha,1,1,12,1,0
273,Lorry,Iveco,3,1,25,1,0
274,Car,Chrysler,5,2,9,1,0
275,Motorbyke,Kawasaki,2,1,28,1,0
276,Without_carnet,Chatenet,2,2,27,0,0
277,Van,Ford,6,5,11,1,0
278,Tractor,Deutz,2,2,30,1,0
279,Tractor,Ford,2,2,28,1,0
280,Lorry,Iveco,3,3,28,1,0
281,Car,Suzuki,4,1,17,1,0
282,Tractor,Ford,1,1,18,1,0
283,Tractor,Claas,1,1,7,1,1
284,Car,Cadillac,4,3,8,1,1
285,Van,Peugeot,6,5,22,1,0
286,Lorry,Mercedes-Benz,3,1,20,1,0
287,Car,Bugatti,3,2,0,1,0
288,Van,Mercedes-Benz,6,6,27,1,0
289,Motorbyke,Harley Davidson,1,1,13,1,0
290,Car,Maserati,4,4,2,1,0
291,Without_carnet,Chatenet,2,2,28,0,0
292,Motorbyke,Ducati,1,1,9,1,0
293,Without_carnet,Ligier,1,1,10,0,0
294,Without_carnet,Ligier,1,1,1,0,0
295,Motorbyke,Ducati,1,1,10,1,0
296,Tractor,Massey Ferguson,2,2,16,1,0
297,Without_carnet,Microcar,2,2,11,0,0
298,Van,Citroen,7,5,14,1,0
299,Tractor,Lanz Bulldog,1,1,16,1,0
300,Car,Porsche,5,1,29,1,0
301,Motorbyke,Harley Davidson,2,1,29,1,0
302,Motorbyke,Yamaha,1,1,3,1,0
303,Van,Renault,7,5,15,1,0
304,Tractor,Massey Ferguson,1,1,6,1,0
305,Lorry,Agrale,3,3,0,1,1
306,Tractor,Case,1,1,29,1,0
307,Lorry,Iveco,3,2,26,1,0
308,Car,Chevrolet,5,5,21,1,0
309,Van,Ford,5,5,23,1,0
310,Lorry,Agrale,3,1,7,1,0
311,Motorbyke,Vespa,1,1,15,1,0
312,Van,Seat,7,7,25,1,0
313,Motorbyke,Kawasaki,1,1,26,1,0
314,Tractor,New Holland,1,1,29,1,0
315,Tractor,Massey Ferguson,2,2,1,1,0
316,Lorry,Iveco,3,1,27,1,0
317,Without_carnet,Microcar,2,2,16,0,0
318,Car,Suzuki,4,4,8,1,0
319,Motorbyke,Yamaha,1,1,1,1,0
320,Without_carnet,Ligier,2,2,12,0,0
321,Van,Citroen,6,6,20,1,0
322,Motorbyke,Kawasaki,1,1,7,1,0
323,Lorry,Agrale,3,2,10,1,0
324,Motorbyke,KTM,2,1,25,1,0
325,Car,Suzuki,4,2,3,1,0
326,Van,Renault,5,5,16,1,0
327,Without_carnet,Microcar,2,2,27,0,0
328,Tractor,Fendt,2,1,21,1,0
329,Motorbyke,Yamaha,1,1,21,1,1
330,Tractor,Claas,1,1,4,1,0
331,Lorry,Iveco,3,1,30,1,0
332,Motorbyke,Harley Davidson,2,2,22,1,0
333,Lorry,Agrale,3,3,30,1,0
334,Motorbyke,Ducati,1,1,11,1,0
335,Tractor,New Holland,1,1,19,1,0
336,Without_carnet,Chatenet,1,1,6,0,0
337,Van,Nissan,6,5,7,1,0
338,Van,Toyota,8,6,18,1,0
339,Motorbyke,Aprilia,1,1,15,1,0
340,Motorbyke,Aprilia,2,2,18,1,0
341,Car,Jeep,5,1,1,1,0
342,Tractor,Lanz Bulldog,1,1,1,1,0
343,Van,Toyota,5,5,13,1,1
344,Without_carnet,Microcar,1,1,1,0,0
345,Tractor,Valtra,2,1,3,1,0
346,Lorry,Mercedes-Benz,3,3,25,1,0
347,Car,Pagani,5,3,11,1,0
348,Motorbyke,KTM,1,1,25,1,0
349,Car,Porsche,2,2,23,1,0
350,Car,Subaru,5,3,2,1,1
351,Without_carnet,Chatenet,2,1,3,0,1
352,Motorbyke,Derbi,1,1,7,1,0
353,Lorry,Agrale,3,1,5,1,0
354,Car,Opel,3,1,0,1,0
355,Lorry,Iveco,3,1,11,1,0
356,Lorry,Pegaso,3,3,12,1,1
357,Motorbyke,KTM,2,2,16,1,0
358,Lorry,Volvo,3,3,16,1,0
359,Motorbyke,Harley Davidson,1,1,5,1,0
360,Motorbyke,Aprilia,2,1,18,1,0
361,Car,Mitsubishi,4,1,12,1,0
362,Lorry,Agrale,3,2,18,1,0
363,Motorbyke,Derbi,1,1,16,1,0
364,Lorry,Volvo,3,3,21,1,0
365,Van,Renault,8,5,18,1,0
366,Motorbyke,KTM,1,1,19,1,0
367,Lorry,Mercedes-Benz,3,1,10,1,0
368,Car,Acura,4,4,19,1,0
369,Motorbyke,KTM,2,2,17,1,1
370,Lorry,Volvo,3,2,25,1,0
371,Lorry,Volvo,3,3,10,1,0
372,Motorbyke,KTM,2,1,26,1,0
373,Van,Fiat,7,6,10,1,0
374,Tractor,John Deere,2,2,11,1,0
375,Tractor,John Deere,2,1,13,1,0
376,Van,Fiat,7,6,17,1,1
377,Without_carnet,Chatenet,1,1,30,0,1
378,Motorbyke,Ducati,2,1,15,1,0
379,Van,Ford,5,5,19,1,0
380,Without_carnet,Ligier,2,2,2,0,0
381,Without_carnet,Chatenet,2,2,1,0,0
382,Lorry,Volvo,3,3,22,1,0
383,Tractor,Claas,1,1,6,1,1
384,Van,Renault,6,6,8,1,0
385,Lorry,Pegaso,3,3,11,1,0
386,Without_carnet,Chatenet,2,2,7,0,0
387,Van,Toyota,5,5,20,1,0
388,Without_carnet,Microcar,1,1,20,0,0
389,Motorbyke,Kawasaki,2,1,16,1,0
390,Tractor,Fendt,2,1,7,1,0
391,Van,Renault,8,5,18,1,0
392,Motorbyke,Kawasaki,2,2,6,1,0
393,Tractor,Deutz,2,1,23,1,0
394,Lorry,Pegaso,3,2,22,1,0
395,Car,Honda,3,1,19,1,0
396,Lorry,Pegaso,3,3,23,1,0
397,Van,Dacia,5,5,16,1,0
398,Tractor,Ford,1,1,14,1,0
399,Motorbyke,Derbi,2,1,23,1,1
400,Tractor,Valtra,2,1,18,1,0
401,Without_carnet,Microcar,2,1,6,0,0
402,Van,Ford,5,5,26,1,0
403,Car,Subaru,4,1,24,1,1
404,Lorry,Volvo,3,3,3,1,1
405,Without_carnet,Aixam,2,1,13,0,0
406,Van,Volkswagen,5,5,10,1,0
407,Lorry,Iveco,3,2,17,1,0
408,Without_carnet,Aixam,1,1,11,0,0
409,Motorbyke,Vespa,1,1,26,1,0
410,Car,Mitsubishi,2,1,9,1,0
411,Lorry,Volvo,3,2,11,1,0
412,Car,Lexus,4,4,6,1,0
413,Without_carnet,Microcar,1,1,21,0,1
414,Lorry,Pegaso,3,2,3,1,0
415,Motorbyke,Kawasaki,1,1,30,1,0
416,Tractor,Ford,2,1,27,1,1
417,Without_carnet,Microcar,1,1,22,0,0
418,Car,Aston Martin,3,1,17,1,0
419,Motorbyke,KTM,2,2,29,1,0
420,Tractor,Ford,2,2,11,1,0
421,Car,Bugatti,4,3,0,1,0
422,Van,Ford,5,5,4,1,0
423,Without_carnet,Chatenet,2,1,18,0,0
424,Without_carnet,Microcar,2,1,7,0,0
425,Car,Acura,4,1,10,1,0
426,Van,Nissan,6,6,9,1,0
427,Car,Saab,3,3,27,1,0
428,Lorry,Agrale,3,1,2,1,0
429,Tractor,Claas,1,1,12,1,0
430,Car,McLaren,4,4,22,1,0
431,Van,Peugeot,7,6,21,1,0
432,Without_carnet,Aixam,1,1,22,0,0
433,Lorry,Mercedes-Benz,3,1,27,1,0
434,Without_carnet,Chatenet,1,1,2,0,0
435,Car,Mazda,2,2,13,1,0
436,Lorry,Mercedes-Benz,3,3,27,1,0
437,Without_carnet,Ligier,1,1,14,0,0
438,Without_carnet,Aixam,2,1,24,0,0
439,Without_carnet,Ligier,1,1,7,0,0
440,Motorbyke,Aprilia,1,1,15,1,0
441,Without_carnet,Chatenet,1,1,16,0,0
442,Without_carnet,Chatenet,1,1,20,0,0
443,Car,Aston Martin,4,3,14,1,1
444,Tractor,Fendt,2,2,11,1,0
445,Van,Iveco,8,8,15,1,0
446,Van,Nissan,5,5,7,1,0
447,Without_carnet,Chatenet,2,1,10,0,0
448,Tractor,Case,1,1,12,1,0
449,Tractor,Lanz Bulldog,1,1,25,1,1
450,Motorbyke,Kawasaki,2,2,13,1,0
451,Lorry,Agrale,3,3,1,1,1
452,Tractor,Claas,2,1,6,1,0
453,Without_carnet,Chatenet,2,1,1,0,0
454,Motorbyke,Yamaha,2,1,25,1,0
455,Lorry,Pegaso,3,3,17,1,0
456,Van,Nissan,8,7,0,1,0
457,Lorry,Pegaso,3,2,17,1,1
458,Car,Mercedes-Benz,2,2,13,1,0
459,Without_carnet,Aixam,1,1,11,0,0
460,Without_carnet,Ligier,2,2,0,0,0
461,Motorbyke,Vespa,1,1,18,1,0
462,Van,Dacia,5,5,13,1,1
463,Van,Dacia,6,6,16,1,0
464,Tractor,John Deere,1,1,27,1,1
465,Motorbyke,Derbi,1,1,30,1,0
466,Car,Saab,4,4,30,1,1
467,Car,KIA,4,2,26,1,0
468,Car,Mercedes-Benz,4,1,8,1,0
469,Van,Fiat,5,5,12,1,0
470,Car,Alfa Romeo,2,1,18,1,0
471,Tractor,New Holland,2,2,20,1,0
472,Lorry,Pegaso,3,2,24,1,0
473,Motorbyke,Yamaha,2,1,25,1,1
474,Lorry,Iveco,3,3,13,1,0
475,Without_carnet,Aixam,2,1,4,0,0
476,Tractor,Massey Ferguson,1,1,10,1,0
477,Lorry,Iveco,3,3,16,1,0
478,Tractor,Valtra,1,1,7,1,0
479,Without_carnet,Ligier,1,1,6,0,0
480,Motorbyke,Vespa,1,1,11,1,0
481,Without_carnet,Chatenet,2,2,16,0,1
482,Without_carnet,Aixam,1,1,17,0,0
483,Motorbyke,Kawasaki,1,1,12,1,0
484,Lorry,Agrale,3,1,20,1,0
485,Lorry,Mercedes-Benz,3,2,19,1,0
486,Lorry,Volvo,3,2,13,1,0
487,Motorbyke,Ducati,1,1,3,1,0
488,Motorbyke,Vespa,2,1,18,1,0
489,Motorbyke,KTM,2,2,8,1,0
490,Lorry,Volvo,3,3,3,1,0
491,Lorry,Iveco,3,2,18,1,0
492,Lorry,Agrale,3,1,14,1,0
493,Without_carnet,Microcar,2,1,28,0,0
494,Van,Mercedes-Benz,6,6,9,1,0
495,Tractor,John Deere,1,1,26,1,0
496,Lorry,Iveco,3,3,25,1,0
497,Tractor,Lanz Bulldog,2,2,25,1,0
498,Motorbyke,Ducati,1,1,24,1,0
499,Car,Infiniti,4,2,11,1,0
500,Without_carnet,Chatenet,1,1,10,0,0
501,Motorbyke,KTM,1,1,20,1,1
502,Tractor,Massey Ferguson,1,1,2,1,0
503,Motorbyke,Harley Davidson,2,2,20,1,0
504,Car,Tesla,2,1,22,1,0
505,Tractor,Ford,1,1,15,1,0
506,Without_carnet,Chatenet,2,1,6,0,0
507,Car,Renault,4,4,29,1,0
508,Without_carnet,Ligier,1,1,16,0,1
509,Van,Fiat,8,6,22,1,0
510,Without_carnet,Ligier,1,1,16,0,0
511,Car,Alfa Romeo,2,1,4,1,0
512,Without_carnet,Ligier,1,1,8,0,0
513,Tractor,Valtra,1,1,7,1,0
514,Tractor,Lanz Bulldog,2,1,19,1,0
515,Motorbyke,Derbi,1,1,17,1,0
516,Without_carnet,Ligier,1,1,12,0,1
517,Lorry,Agrale,3,1,7,1,0
518,Lorry,Volvo,3,3,27,1,1
519,Motorbyke,KTM,2,2,22,1,0
520,Tractor,Valtra,1,1,7,1,0
521,Without_carnet,Microcar,1,1,2,0,0
522,Lorry,Mercedes-Benz,3,1,20,1,0
523,Motorbyke,Harley Davidson,1,1,2,1,0
524,Car,Mitsubishi,4,4,14,1,0
525,Van,Toyota,7,6,1,1,0
526,Motorbyke,Aprilia,1,1,28,1,0
527,Lorry,Pegaso,3,2,0,1,0
528,Car,Lexus,2,2,7,1,0
529,Motorbyke,Kawasaki,2,1,14,1,0
530,Van,Volkswagen,5,5,1,1,0
531,Tractor,Ford,2,1,28,1,0
532,Car,Ford,2,1,16,1,0
533,Without_carnet,Aixam,2,1,25,0,0
534,Tractor,Fendt,2,1,9,1,1
535,Car,Land Rover,5,1,7,1,0
536,Van,Dacia,6,5,12,1,0
537,Van,Fiat,7,6,7,1,0
538,Car,KIA,3,3,11,1,0
539,Van,Ford,8,7,18,1,0
540,Van,Peugeot,5,5,12,1,0
541,Lorry,Agrale,3,1,3,1,0
542,Motorbyke,Yamaha,1,1,8,1,0
543,Lorry,Iveco,3,2,4,1,0
544,Motorbyke,Derbi,2,2,23,1,0
545,Motorbyke,Vespa,2,2,4,1,0
546,Tractor,Claas,2,1,20,1,0
547,Car,Citroen,2,2,11,1,0
548,Without_carnet,Ligier,1,1,16,0,0
549,Without_carnet,Microcar,2,2,9,0,0
550,Tractor,Fendt,2,2,14,1,0
551,Without_carnet,Chatenet,2,1,19,0,0
552,Van,Seat,6,6,1,1,0
553,Motorbyke,Yamaha,2,2,6,1,0
554,Tractor,Deutz,2,2,28,1,0
555,Without_carnet,Ligier,2,1,23,0,1
556,Van,Volkswagen,7,7,19,1,0
557,Van,Citroen,6,6,5,1,0
558,Motorbyke,Derbi,2,1,10,1,0
559,Car,Hyunday,2,1,1,1,0
560,Tractor,John Deere,2,1,6,1,0
561,Motorbyke,Harley Davidson,1,1,24,1,0
562,Lorry,Agrale,3,3,9,1,0
563,Tractor,Lanz Bulldog,2,2,0,1,0
564,Van,Seat,6,6,14,1,0
565,Lorry,Agrale,3,3,4,1,0
566,Car,Pagani,3,2,18,1,0
567,Car,Bugatti,5,3,17,1,0
568,Motorbyke,Vespa,1,1,5,1,0
569,Tractor,New Holland,2,2,2,1,0
570,Lorry,Iveco,3,2,16,1,0
571,Lorry,Iveco,3,3,25,1,1
572,Car,Audi,5,5,26,1,1
573,Lorry,Agrale,3,1,11,1,0
574,Without_carnet,Aixam,2,2,28,0,0
575,Van,Volkswagen,5,5,23,1,0
576,Motorbyke,Yamaha,1,1,10,1,0
577,Motorbyke,Kawasaki,1,1,20,1,0
578,Car,Jaguar,2,1,25,1,0
579,Tractor,Lanz Bulldog,2,2,7,1,0
580,Van,Volkswagen,8,7,17,1,0
581,Tractor,John Deere,2,2,6,1,0
582,Van,Ford,6,6,12,1,0
583,Motorbyke,Derbi,2,1,3,1,0
584,Van,Renault,5,5,3,1,0
585,Van,Volkswagen,6,5,22,1,0
586,Lorry,Agrale,3,3,14,1,0
587,Tractor,John Deere,1,1,9,1,0
588,Van,Renault,6,5,28,1,0
589,Car,Porsche,5,1,6,1,0
590,Without_carnet,Chatenet,1,1,20,0,0
591,Car,Chrysler,3,3,1,1,0
592,Lorry,Agrale,3,2,21,1,1
593,Tractor,Valtra,2,2,15,1,1
594,Lorry,Pegaso,3,1,5,1,0
595,Without_carnet,Microcar,1,1,2,0,0
596,Lorry,Mercedes-Benz,3,1,24,1,0
597,Van,Iveco,5,5,8,1,0
598,Van,Fiat,5,5,4,1,1
599,Van,Seat,6,6,7,1,0
600,Motorbyke,KTM,2,2,8,1,0
601,Van,Citroen,6,5,16,1,0
602,Lorry,Volvo,3,2,17,1,0
603,Lorry,Mercedes-Benz,3,2,15,1,0
604,Van,Toyota,6,6,18,1,0
605,Car,BMW,4,3,1,1,1
606,Without_carnet,Aixam,1,1,14,0,0
607,Car,McLaren,4,1,3,1,0
608,Tractor,Case,2,2,0,1,0
609,Van,Mercedes-Benz,6,5,4,1,0
610,Lorry,Iveco,3,2,17,1,0
611,Without_carnet,Microcar,1,1,9,0,0
612,Without_carnet,Ligier,2,2,12,0,0
613,Without_carnet,Chatenet,2,2,2,0,0
614,Car,Ferrari,2,1,21,1,1
