id,start,end,road_name,road_type,black_point,signposting,radar
72,84,85,A-1,highway,0,1,1
73,85,86,A-1,highway,0,1,0
74,86,87,A-1,highway,0,1,1
75,87,88,A-1,highway,0,0,0
76,88,89,A-1,highway,0,0,0
77,89,90,A-1,highway,0,1,0
78,90,91,A-1,highway,0,1,0
79,91,92,A-1,highway,0,1,0
80,92,93,A-1,highway,0,0,1
81,93,94,A-1,highway,0,1,0
82,94,95,A-1,highway,0,0,0
83,95,96,A-1,highway,0,1,1
84,96,97,A-1,highway,0,1,1
85,97,98,A-1,highway,0,1,0
86,98,99,A-1,highway,0,0,0
87,99,100,A-1,highway,0,1,0
88,100,101,A-1,highway,0,0,0
89,101,102,A-1,highway,1,1,0
90,102,103,A-1,highway,0,0,0
91,103,104,A-1,highway,1,1,0
92,104,105,A-1,highway,0,0,1
93,105,106,A-1,highway,0,1,0
94,106,107,A-1,highway,0,1,1
95,107,108,A-1,highway,0,1,0
96,108,109,A-1,highway,0,1,0
97,109,110,A-1,highway,0,1,1
98,110,111,A-1,highway,0,1,0
99,111,112,A-1,highway,0,1,1
100,112,113,A-1,highway,0,1,0
101,113,114,A-1,highway,0,0,1
102,114,115,A-1,highway,0,0,1
103,115,116,A-1,highway,0,0,0
104,116,117,A-1,highway,0,0,0
105,117,118,A-1,highway,0,0,1
106,118,119,A-1,highway,1,1,0
107,119,120,A-1,highway,0,1,1
108,120,121,A-1,highway,0,1,0
109,121,122,A-1,highway,0,1,0
110,122,123,A-1,highway,0,0,0
111,123,124,A-1,highway,0,1,1
112,124,125,A-1,highway,0,1,0
113,125,126,A-1,highway,0,0,0
114,126,127,A-1,highway,0,0,0
115,127,128,A-1,highway,0,0,0
116,128,129,A-1,highway,1,1,0
117,129,130,A-1,highway,0,1,0
118,130,131,A-1,highway,0,0,0
119,131,132,A-1,highway,0,1,0
120,132,133,A-1,highway,0,0,0
121,133,134,A-1,highway,0,0,1
122,134,135,A-1,highway,0,1,0
123,135,136,A-1,highway,0,1,1
124,136,137,A-1,highway,0,1,0
125,137,138,A-1,highway,0,1,1
126,138,139,A-1,highway,0,1,1
127,139,140,A-1,highway,0,1,0
128,140,141,A-1,highway,0,1,0
129,141,142,A-1,highway,0,1,0
130,142,143,A-1,highway,0,1,1
131,143,144,A-1,highway,0,0,1
132,144,145,A-1,highway,0,1,1
133,145,146,A-1,highway,0,1,1
134,146,147,A-1,highway,1,1,1
135,147,148,A-1,highway,0,0,0
136,148,149,A-1,highway,0,0,1
137,149,150,A-1,highway,0,0,0
138,150,151,A-1,highway,0,1,1
139,151,152,A-1,highway,0,1,0
140,152,153,A-1,highway,0,0,0
141,153,154,A-1,highway,0,1,0
142,154,155,A-1,highway,0,1,0
143,155,156,A-1,highway,0,0,0
144,156,157,A-1,highway,0,1,1
145,157,158,A-1,highway,0,1,0
146,158,159,A-1,highway,0,1,0
147,159,160,A-1,highway,0,1,0
148,160,161,A-1,highway,0,1,0
149,161,162,A-1,highway,0,0,0
150,162,163,A-1,highway,0,1,0
151,163,164,A-1,highway,0,0,0
152,164,165,A-1,highway,1,1,1
153,165,166,A-1,highway,0,0,0
154,166,167,A-1,highway,0,1,0
155,167,168,A-1,highway,0,1,0
156,168,169,A-1,highway,0,1,0
157,169,170,A-1,highway,0,1,0
158,170,171,A-1,highway,0,0,0
159,171,172,A-1,highway,0,1,0
160,172,173,A-1,highway,0,0,0
161,173,174,A-1,highway,0,0,0
162,174,175,A-1,highway,0,0,1
163,175,176,A-1,highway,0,1,0
164,176,177,A-1,highway,0,0,1
165,177,178,A-1,highway,1,1,0
166,178,179,A-1,highway,0,0,0
167,179,180,A-1,highway,0,1,0
168,180,181,A-1,highway,0,1,0
169,181,182,A-1,highway,0,1,1
170,182,183,A-1,highway,0,1,1
171,183,184,A-1,highway,0,0,0
172,184,185,A-1,highway,0,1,0
173,185,186,A-1,highway,1,1,0
174,186,187,A-1,highway,0,1,0
175,187,188,A-1,highway,1,1,1
176,188,189,A-1,highway,0,1,1
177,189,190,A-1,highway,0,1,1
178,190,191,A-1,highway,0,1,0
179,191,192,A-1,highway,0,0,1
180,192,193,A-1,highway,0,1,0
181,193,194,A-1,highway,1,0,0
182,194,195,A-1,highway,0,1,0
183,195,196,A-1,highway,0,1,0
184,196,197,A-1,highway,0,1,1
185,197,198,A-1,highway,1,0,0
186,198,199,A-1,highway,0,1,0
187,199,200,A-1,highway,0,1,1
188,200,201,A-1,highway,0,0,0
189,201,202,A-1,highway,0,1,0
190,202,203,A-1,highway,0,0,1
191,203,204,A-1,highway,0,1,0
192,204,205,A-1,highway,0,0,0
193,205,206,A-1,highway,0,1,1
194,206,207,A-1,highway,0,1,1
195,207,208,A-1,highway,0,1,0
196,208,209,A-1,highway,0,1,0
197,209,210,A-1,highway,0,1,0
198,210,211,A-1,highway,0,0,0
199,211,212,A-1,highway,0,1,0
200,212,213,A-1,highway,0,0,0
201,213,214,A-1,highway,0,1,0
202,214,215,A-1,highway,0,0,1
203,215,216,A-1,highway,0,1,0
204,216,217,A-1,highway,0,1,1
205,217,218,A-1,highway,0,0,1
206,218,219,A-1,highway,0,1,0
207,219,220,A-1,highway,0,1,0
208,220,221,A-1,highway,0,0,0
209,221,222,A-1,highway,0,1,0
210,222,223,A-1,highway,0,0,1
211,223,224,A-1,highway,0,1,1
212,224,225,A-1,highway,0,0,1
213,225,226,A-1,highway,0,1,0
214,226,227,A-1,highway,0,1,0
215,227,228,A-1,highway,0,1,1
216,228,229,A-1,highway,0,1,0
217,229,230,A-1,highway,0,0,0
218,230,231,A-1,highway,0,0,0
219,231,232,A-1,highway,1,1,1
220,232,233,A-1,highway,0,1,0
221,233,234,A-1,highway,0,1,1
222,234,235,A-1,highway,0,1,0
223,235,236,A-1,highway,0,1,0
224,236,237,A-1,highway,0,1,0
225,237,238,A-1,highway,0,1,1
226,238,239,A-1,highway,0,1,1
227,239,240,A-1,highway,0,0,0
228,240,241,A-1,highway,0,1,0
229,241,242,A-1,highway,0,1,0
230,242,243,A-1,highway,0,1,0
231,243,244,A-1,highway,0,1,0
232,244,245,A-1,highway,0,1,0
233,245,246,A-1,highway,0,1,0
234,246,247,A-1,highway,0,0,0
235,247,248,A-1,highway,0,0,1
236,248,249,A-1,highway,0,0,0
237,249,250,A-1,highway,0,1,0
238,250,251,A-1,highway,0,0,0
239,251,252,A-1,highway,0,1,0
240,252,253,A-1,highway,0,1,0
241,253,254,A-1,highway,0,1,0
242,254,255,A-1,highway,0,0,0
243,255,256,A-1,highway,1,1,0
244,256,257,A-1,highway,1,0,0
245,257,258,A-1,highway,0,1,0
246,258,259,A-1,highway,1,1,1
247,259,260,A-1,highway,0,0,0
248,260,261,A-1,highway,0,1,0
249,261,262,A-1,highway,0,0,1
250,262,263,A-1,highway,0,1,0
251,263,264,A-1,highway,0,0,0
252,264,265,A-1,highway,0,0,1
253,265,266,A-1,highway,0,1,0
254,266,267,A-1,highway,0,0,0
255,267,268,A-1,highway,0,1,0
256,268,269,A-1,highway,0,1,0
257,269,270,A-1,highway,0,0,0
258,270,271,A-1,highway,0,0,1
259,271,272,A-1,highway,0,1,1
260,272,273,A-1,highway,0,0,0
261,273,274,A-1,highway,0,0,1
262,274,275,A-1,highway,0,1,0
263,275,276,A-1,highway,0,0,0
264,276,277,A-1,highway,1,1,0
265,277,278,A-1,highway,0,0,1
266,278,279,A-1,highway,0,1,0
267,279,280,A-1,highway,0,1,0
268,280,281,A-1,highway,1,1,0
269,281,282,A-1,highway,0,0,0
270,282,283,A-1,highway,0,0,0
271,283,284,A-1,highway,0,1,0
272,284,285,A-1,highway,0,1,1
273,285,286,A-1,highway,0,0,0
274,286,287,A-1,highway,0,1,0
275,287,288,A-1,highway,0,1,1
276,288,289,A-1,highway,0,1,0
277,289,290,A-1,highway,0,1,1
278,290,291,A-1,highway,0,1,0
279,291,292,A-1,highway,1,1,1
280,292,293,A-1,highway,0,1,0
281,293,294,A-1,highway,1,1,0
282,294,295,A-1,highway,0,0,1
283,295,296,A-1,highway,0,0,1
284,296,297,A-1,highway,0,0,0
285,297,298,A-1,highway,0,1,0
286,298,299,A-1,highway,0,1,0
287,299,300,A-1,highway,0,1,0
288,300,301,A-1,highway,0,1,0
289,301,302,A-1,highway,0,1,1
290,302,303,A-1,highway,0,0,1
291,303,304,A-1,highway,0,1,0
292,304,305,A-1,highway,0,0,1
293,305,306,A-1,highway,0,1,0
294,306,307,A-1,highway,0,1,0
295,307,308,A-1,highway,0,1,0
296,308,309,A-1,highway,0,0,0
297,309,310,A-1,highway,0,1,1
298,310,311,A-1,highway,0,1,0
299,311,312,A-1,highway,0,0,0
300,312,313,A-1,highway,1,1,0
301,313,314,A-1,highway,1,1,1
302,314,315,A-1,highway,0,1,1
303,315,316,A-1,highway,1,0,0
304,316,317,A-1,highway,0,1,0
305,317,318,A-1,highway,0,1,0
306,318,319,A-1,highway,0,0,0
307,319,320,A-1,highway,0,0,1
308,320,321,A-1,highway,0,1,0
309,321,322,A-1,highway,1,1,0
310,322,323,A-1,highway,0,1,0
311,323,324,A-1,highway,1,1,1
312,324,325,A-1,highway,0,1,0
313,325,326,A-1,highway,1,0,1
314,326,327,A-1,highway,0,0,0
315,327,328,A-1,highway,0,1,1
316,328,329,A-1,highway,0,1,0
317,329,330,A-1,highway,0,0,1
318,330,331,A-1,highway,0,1,0
319,331,332,A-1,highway,0,1,1
320,332,333,A-1,highway,0,1,0
321,333,334,A-1,highway,0,0,1
322,334,335,A-1,highway,0,1,1
323,335,336,A-1,highway,1,1,0
324,336,337,A-1,highway,0,0,1
325,105,106,A-11,highway,0,1,0
326,106,107,A-11,highway,1,0,0
327,107,108,A-11,highway,1,1,0
328,108,109,A-11,highway,0,1,0
329,109,110,A-11,highway,0,1,0
330,110,111,A-11,highway,0,1,1
331,111,112,A-11,highway,0,1,0
332,112,113,A-11,highway,0,0,0
333,113,114,A-11,highway,0,1,1
334,114,115,A-11,highway,0,0,0
335,115,116,A-11,highway,0,1,0
336,116,117,A-11,highway,0,0,0
337,117,118,A-11,highway,1,0,0
338,118,119,A-11,highway,0,0,1
339,119,120,A-11,highway,0,0,1
340,120,121,A-11,highway,0,1,0
341,121,122,A-11,highway,0,1,0
342,122,123,A-11,highway,1,0,1
343,123,124,A-11,highway,0,0,0
344,124,125,A-11,highway,0,1,1
345,125,126,A-11,highway,0,0,1
346,126,127,A-11,highway,1,0,0
347,127,128,A-11,highway,0,1,1
348,128,129,A-11,highway,0,1,0
349,129,130,A-11,highway,0,1,0
350,130,131,A-11,highway,0,0,0
351,131,132,A-11,highway,0,1,0
352,132,133,A-11,highway,0,1,0
353,133,134,A-11,highway,1,0,0
354,134,135,A-11,highway,0,1,0
355,135,136,A-11,highway,0,0,0
356,136,137,A-11,highway,0,1,0
357,137,138,A-11,highway,0,0,0
358,138,139,A-11,highway,0,1,0
359,139,140,A-11,highway,0,1,0
360,140,141,A-11,highway,0,1,0
361,141,142,A-11,highway,0,1,0
362,142,143,A-11,highway,0,0,1
363,143,144,A-11,highway,1,1,0
364,144,145,A-11,highway,0,1,0
365,145,146,A-11,highway,0,1,1
366,146,147,A-11,highway,0,1,0
367,147,148,A-11,highway,1,1,0
368,148,149,A-11,highway,0,0,1
369,149,150,A-11,highway,0,1,0
370,150,151,A-11,highway,0,0,0
371,151,152,A-11,highway,1,1,1
372,152,153,A-11,highway,0,1,0
373,153,154,A-11,highway,0,1,1
374,154,155,A-11,highway,0,1,0
375,155,156,A-11,highway,0,0,1
376,156,157,A-11,highway,0,1,0
377,157,158,A-11,highway,0,0,0
378,158,159,A-11,highway,0,1,1
379,159,160,A-11,highway,0,0,0
380,160,161,A-11,highway,0,1,0
381,161,162,A-11,highway,0,1,0
382,162,163,A-11,highway,0,1,0
383,163,164,A-11,highway,0,0,1
384,164,165,A-11,highway,0,0,0
385,165,166,A-11,highway,0,0,0
386,166,167,A-11,highway,0,1,1
387,167,168,A-11,highway,0,1,0
388,168,169,A-11,highway,0,1,1
389,169,170,A-11,highway,0,1,0
390,170,171,A-11,highway,0,0,0
391,171,172,A-11,highway,0,0,0
392,172,173,A-11,highway,0,1,0
393,173,174,A-11,highway,1,0,0
394,174,175,A-11,highway,0,1,0
395,175,176,A-11,highway,0,1,0
396,176,177,A-11,highway,0,1,1
397,177,178,A-11,highway,0,1,0
398,178,179,A-11,highway,0,0,0
399,179,180,A-11,highway,1,0,0
400,180,181,A-11,highway,0,0,0
401,181,182,A-11,highway,0,0,0
402,182,183,A-11,highway,0,1,1
403,183,184,A-11,highway,0,0,0
404,184,185,A-11,highway,0,0,0
405,185,186,A-11,highway,0,0,0
406,186,187,A-11,highway,0,1,0
407,187,188,A-11,highway,0,1,1
408,188,189,A-11,highway,0,1,1
409,189,190,A-11,highway,0,0,0
410,190,191,A-11,highway,1,1,1
411,191,192,A-11,highway,0,1,1
412,192,193,A-11,highway,0,1,0
413,193,194,A-11,highway,0,1,0
414,194,195,A-11,highway,0,1,0
415,195,196,A-11,highway,0,1,0
416,196,197,A-11,highway,1,0,0
417,197,198,A-11,highway,0,1,0
418,198,199,A-11,highway,0,1,1
419,199,200,A-11,highway,0,0,0
420,200,201,A-11,highway,0,1,0
421,201,202,A-11,highway,0,1,0
422,202,203,A-11,highway,0,0,1
423,203,204,A-11,highway,0,1,1
424,204,205,A-11,highway,0,1,0
425,205,206,A-11,highway,0,0,1
426,206,207,A-11,highway,0,1,0
427,207,208,A-11,highway,0,0,0
428,208,209,A-11,highway,0,1,0
429,209,210,A-11,highway,0,1,0
430,210,211,A-11,highway,0,1,0
431,211,212,A-11,highway,0,0,1
432,212,213,A-11,highway,0,0,0
433,213,214,A-11,highway,0,1,0
434,214,215,A-11,highway,0,1,0
435,215,216,A-11,highway,0,1,0
436,216,217,A-11,highway,0,0,0
437,217,218,A-11,highway,0,0,1
438,218,219,A-11,highway,0,0,0
439,219,220,A-11,highway,1,0,1
440,220,221,A-11,highway,0,1,1
441,221,222,A-11,highway,0,1,0
442,222,223,A-11,highway,0,1,1
443,223,224,A-11,highway,0,0,0
444,224,225,A-11,highway,0,1,0
445,225,226,A-11,highway,0,0,0
446,226,227,A-11,highway,0,1,0
447,227,228,A-11,highway,0,1,0
448,228,229,A-11,highway,0,1,0
449,229,230,A-11,highway,0,1,1
450,230,231,A-11,highway,0,0,1
451,231,232,A-11,highway,0,1,1
452,232,233,A-11,highway,0,1,1
453,233,234,A-11,highway,0,1,1
454,234,235,A-11,highway,0,0,1
455,235,236,A-11,highway,0,1,0
456,236,237,A-11,highway,0,0,0
457,237,238,A-11,highway,0,1,0
458,238,239,A-11,highway,0,0,1
459,239,240,A-11,highway,0,1,0
460,240,241,A-11,highway,1,0,0
461,241,242,A-11,highway,0,0,0
462,242,243,A-11,highway,0,1,1
463,243,244,A-11,highway,0,1,0
464,244,245,A-11,highway,0,1,0
465,245,246,A-11,highway,0,1,0
466,246,247,A-11,highway,0,1,1
467,247,248,A-11,highway,1,1,1
468,248,249,A-11,highway,0,1,0
469,249,250,A-11,highway,0,1,0
470,250,251,A-11,highway,0,0,1
471,251,252,A-11,highway,0,1,0
472,252,253,A-11,highway,0,0,0
473,253,254,A-11,highway,0,1,1
474,254,255,A-11,highway,1,0,0
475,255,256,A-11,highway,0,0,0
476,256,257,A-11,highway,0,0,0
477,257,258,A-11,highway,0,1,1
478,258,259,A-11,highway,0,1,1
479,259,260,A-11,highway,0,1,0
480,260,261,A-11,highway,0,0,0
481,261,262,A-11,highway,0,1,0
482,262,263,A-11,highway,1,0,0
483,263,264,A-11,highway,0,0,1
484,264,265,A-11,highway,0,1,1
485,265,266,A-11,highway,0,1,0
486,266,267,A-11,highway,0,1,0
487,267,268,A-11,highway,0,1,0
488,268,269,A-11,highway,0,0,1
489,269,270,A-11,highway,0,0,0
490,270,271,A-11,highway,0,1,1
491,271,272,A-11,highway,0,1,0
492,272,273,A-11,highway,0,0,1
493,273,274,A-11,highway,0,1,1
494,274,275,A-11,highway,0,0,1
495,275,276,A-11,highway,0,1,0
496,276,277,A-11,highway,0,0,0
497,277,278,A-11,highway,0,1,0
498,278,279,A-11,highway,0,1,0
499,279,280,A-11,highway,0,1,0
500,280,281,A-11,highway,0,1,1
501,281,282,A-11,highway,0,1,0
502,282,283,A-11,highway,0,0,0
503,283,284,A-11,highway,0,0,0
504,284,285,A-11,highway,1,1,1
505,285,286,A-11,highway,0,1,0
506,286,287,A-11,highway,0,1,0
507,287,288,A-11,highway,0,1,0
508,288,289,A-11,highway,0,0,0
509,289,290,A-11,highway,1,0,0
510,290,291,A-11,highway,0,1,0
511,291,292,A-11,highway,0,0,0
512,292,293,A-11,highway,0,1,1
513,293,294,A-11,highway,0,1,1
514,294,295,A-11,highway,0,1,0
515,295,296,A-11,highway,0,0,1
516,296,297,A-11,highway,0,1,0
517,297,298,A-11,highway,0,1,0
518,298,299,A-11,highway,0,1,0
519,299,300,A-11,highway,0,1,0
520,300,301,A-11,highway,1,1,0
521,301,302,A-11,highway,0,0,1
522,302,303,A-11,highway,1,0,0
523,303,304,A-11,highway,0,1,0
524,304,305,A-11,highway,0,0,0
525,305,306,A-11,highway,1,1,0
526,306,307,A-11,highway,0,1,1
527,307,308,A-11,highway,1,1,1
528,308,309,A-11,highway,0,1,0
529,309,310,A-11,highway,0,0,0
530,310,311,A-11,highway,0,1,0
531,311,312,A-11,highway,0,0,0
532,312,313,A-11,highway,0,1,0
533,313,314,A-11,highway,0,1,0
534,314,315,A-11,highway,0,1,1
535,315,316,A-11,highway,0,1,0
536,316,317,A-11,highway,1,1,1
537,317,318,A-11,highway,0,0,1
538,318,319,A-11,highway,0,1,0
539,319,320,A-11,highway,0,1,0
540,320,321,A-11,highway,0,1,1
541,321,322,A-11,highway,0,1,1
542,322,323,A-11,highway,0,0,1
543,323,324,A-11,highway,0,0,0
544,324,325,A-11,highway,0,0,1
545,325,326,A-11,highway,0,0,0
546,326,327,A-11,highway,1,1,1
547,327,328,A-11,highway,0,0,0
548,328,329,A-11,highway,0,1,0
549,329,330,A-11,highway,0,0,1
550,330,331,A-11,highway,0,0,0
551,331,332,A-11,highway,0,1,1
552,332,333,A-11,highway,0,1,0
553,333,334,A-11,highway,0,1,0
554,334,335,A-11,highway,0,1,0
555,335,336,A-11,highway,0,1,0
556,336,337,A-11,highway,0,0,0
557,337,338,A-11,highway,0,0,1
558,338,339,A-11,highway,0,0,1
559,339,340,A-11,highway,0,0,0
560,340,341,A-11,highway,1,1,0
561,341,342,A-11,highway,0,0,0
562,342,343,A-11,highway,0,0,0
563,343,344,A-11,highway,1,0,1
564,344,345,A-11,highway,0,1,0
565,345,346,A-11,highway,0,0,0
566,346,347,A-11,highway,0,1,0
567,347,348,A-11,highway,0,1,1
568,348,349,A-11,highway,0,1,0
569,349,350,A-11,highway,0,1,0
570,350,351,A-11,highway,0,1,0
571,351,352,A-11,highway,1,0,0
572,352,353,A-11,highway,0,0,0
573,353,354,A-11,highway,0,0,0
574,354,355,A-11,highway,0,1,1
575,355,356,A-11,highway,0,0,1
576,356,357,A-11,highway,0,1,0
577,357,358,A-11,highway,0,1,1
578,358,359,A-11,highway,0,1,1
579,359,360,A-11,highway,0,1,0
580,360,361,A-11,highway,0,1,0
581,361,362,A-11,highway,0,0,1
582,362,363,A-11,highway,0,1,0
583,363,364,A-11,highway,0,1,1
584,364,365,A-11,highway,1,1,0
585,365,366,A-11,highway,0,1,0
586,366,367,A-11,highway,0,1,0
587,367,368,A-11,highway,0,1,0
588,368,369,A-11,highway,0,1,1
589,369,370,A-11,highway,0,1,0
590,370,371,A-11,highway,0,0,0
591,371,372,A-11,highway,0,0,0
592,372,373,A-11,highway,0,0,0
593,373,374,A-11,highway,1,0,1
594,374,375,A-11,highway,0,0,0
595,375,376,A-11,highway,0,0,1
596,376,377,A-11,highway,0,1,1
597,377,378,A-11,highway,0,0,1
598,378,379,A-11,highway,0,0,0
599,379,380,A-11,highway,0,1,1
600,380,381,A-11,highway,0,0,1
601,381,382,A-11,highway,0,1,1
602,382,383,A-11,highway,0,0,1
603,383,384,A-11,highway,0,0,0
604,384,385,A-11,highway,0,1,1
605,385,386,A-11,highway,1,1,0
606,386,387,A-11,highway,1,1,1
607,387,388,A-11,highway,1,0,1
608,388,389,A-11,highway,0,0,1
609,389,390,A-11,highway,0,0,0
610,390,391,A-11,highway,0,1,0
611,391,392,A-11,highway,0,1,0
612,392,393,A-11,highway,0,0,0
613,393,394,A-11,highway,0,1,0
614,394,395,A-11,highway,0,0,0
615,395,396,A-11,highway,0,0,1
616,396,397,A-11,highway,0,1,0
617,397,398,A-11,highway,0,1,1
618,398,399,A-11,highway,0,0,0
619,399,400,A-11,highway,0,0,1
620,400,401,A-11,highway,0,1,0
621,401,402,A-11,highway,0,0,1
622,402,403,A-11,highway,0,0,0
623,403,404,A-11,highway,0,1,0
624,404,405,A-11,highway,0,0,0
625,405,406,A-11,highway,0,0,0
626,406,407,A-11,highway,0,1,0
627,407,408,A-11,highway,0,1,0
628,408,409,A-11,highway,0,1,0
629,409,410,A-11,highway,0,0,0
630,410,411,A-11,highway,0,1,0
631,411,412,A-11,highway,0,0,0
632,412,413,A-11,highway,0,0,0
633,413,414,A-11,highway,0,1,0
634,414,415,A-11,highway,1,1,1
635,415,416,A-11,highway,0,0,0
636,416,417,A-11,highway,0,1,0
637,417,418,A-11,highway,0,1,0
638,418,419,A-11,highway,1,0,0
639,419,420,A-11,highway,0,1,0
640,420,421,A-11,highway,0,0,0
641,421,422,A-11,highway,1,0,0
642,422,423,A-11,highway,0,1,0
643,423,424,A-11,highway,1,1,0
644,424,425,A-11,highway,0,0,0
645,425,426,A-11,highway,0,1,0
646,426,427,A-11,highway,0,0,0
647,427,428,A-11,highway,0,0,0
648,428,429,A-11,highway,0,1,0
649,429,430,A-11,highway,0,1,0
650,430,431,A-11,highway,0,0,1
651,431,432,A-11,highway,0,1,0
652,432,433,A-11,highway,0,1,1
653,433,434,A-11,highway,0,1,0
654,434,435,A-11,highway,0,0,0
655,435,436,A-11,highway,0,0,1
656,436,437,A-11,highway,0,1,1
657,437,438,A-11,highway,0,1,0
658,438,439,A-11,highway,0,1,0
659,439,440,A-11,highway,0,1,1
660,440,441,A-11,highway,0,1,0
661,441,442,A-11,highway,0,1,1
662,442,443,A-11,highway,0,0,0
663,443,444,A-11,highway,1,1,0
664,444,445,A-11,highway,0,0,0
665,445,446,A-11,highway,0,1,0
666,446,447,A-11,highway,0,0,0
667,447,448,A-11,highway,0,0,0
668,448,449,A-11,highway,0,1,0
669,449,450,A-11,highway,0,1,0
670,450,451,A-11,highway,0,1,0
671,451,452,A-11,highway,0,1,1
672,452,453,A-11,highway,1,0,0
673,453,454,A-11,highway,0,1,0
674,454,455,A-11,highway,0,0,0
675,455,456,A-11,highway,0,0,0
676,456,457,A-11,highway,0,0,0
677,457,458,A-11,highway,0,1,1
678,458,459,A-11,highway,0,1,0
679,459,460,A-11,highway,1,1,1
680,460,461,A-11,highway,0,0,1
681,461,462,A-11,highway,0,1,0
682,462,463,A-11,highway,0,1,0
683,463,464,A-11,highway,1,1,1
684,464,465,A-11,highway,0,1,0
685,465,466,A-11,highway,0,1,0
686,466,467,A-11,highway,0,0,0
687,467,468,A-11,highway,0,1,0
688,76,77,A-12,highway,0,1,0
689,77,78,A-12,highway,0,0,1
690,78,79,A-12,highway,0,0,0
691,79,80,A-12,highway,0,1,0
692,80,81,A-12,highway,0,0,1
693,81,82,A-12,highway,0,1,1
694,82,83,A-12,highway,0,0,0
695,83,84,A-12,highway,0,0,0
696,84,85,A-12,highway,0,1,1
697,85,86,A-12,highway,0,0,0
698,86,87,A-12,highway,0,0,0
699,87,88,A-12,highway,0,0,0
700,88,89,A-12,highway,0,0,0
701,89,90,A-12,highway,0,0,0
702,90,91,A-12,highway,0,0,0
703,91,92,A-12,highway,0,0,1
704,92,93,A-12,highway,0,0,1
705,93,94,A-12,highway,1,0,0
706,94,95,A-12,highway,0,1,1
707,95,96,A-12,highway,0,1,0
708,96,97,A-12,highway,0,0,0
709,97,98,A-12,highway,0,1,0
710,98,99,A-12,highway,0,1,1
711,99,100,A-12,highway,0,1,0
712,100,101,A-12,highway,0,1,0
713,101,102,A-12,highway,0,0,0
714,102,103,A-12,highway,0,1,0
715,103,104,A-12,highway,0,0,0
716,104,105,A-12,highway,0,1,1
717,105,106,A-12,highway,0,1,0
718,106,107,A-12,highway,0,1,0
719,107,108,A-12,highway,0,0,1
720,108,109,A-12,highway,1,1,0
721,109,110,A-12,highway,1,1,0
722,110,111,A-12,highway,0,0,0
723,111,112,A-12,highway,0,1,1
724,112,113,A-12,highway,0,0,0
725,113,114,A-12,highway,1,0,0
726,114,115,A-12,highway,1,0,1
727,115,116,A-12,highway,1,1,0
728,116,117,A-12,highway,1,0,0
729,117,118,A-12,highway,0,0,0
730,118,119,A-12,highway,0,1,0
731,119,120,A-12,highway,1,0,1
732,120,121,A-12,highway,0,1,0
733,121,122,A-12,highway,0,1,0
