start,end,road_name,road_type,black_point,signposting,radar
109,110,A-1,highway,0,1,1
110,111,A-1,highway,0,0,0
111,112,A-1,highway,0,0,0
112,113,A-1,highway,0,0,1
113,114,A-1,highway,0,0,1
114,115,A-1,highway,0,1,1
115,116,A-1,highway,0,0,1
116,117,A-1,highway,0,0,0
117,118,A-1,highway,0,0,1
118,119,A-1,highway,0,0,0
119,120,A-1,highway,0,1,0
120,121,A-1,highway,0,0,0
121,122,A-1,highway,0,1,0
122,123,A-1,highway,0,1,0
123,124,A-1,highway,0,0,0
124,125,A-1,highway,0,0,1
125,126,A-1,highway,0,1,0
126,127,A-1,highway,0,1,0
127,128,A-1,highway,0,1,1
128,129,A-1,highway,0,0,0
129,130,A-1,highway,0,1,0
130,131,A-1,highway,0,0,1
131,132,A-1,highway,0,0,1
132,133,A-1,highway,0,1,0
133,134,A-1,highway,0,1,1
134,135,A-1,highway,0,1,1
135,136,A-1,highway,0,1,0
136,137,A-1,highway,0,1,0
137,138,A-1,highway,1,1,0
138,139,A-1,highway,1,1,0
139,140,A-1,highway,0,0,1
140,141,A-1,highway,0,1,0
141,142,A-1,highway,0,1,0
142,143,A-1,highway,0,1,0
143,144,A-1,highway,0,0,1
144,145,A-1,highway,0,0,0
145,146,A-1,highway,0,1,0
146,147,A-1,highway,0,1,0
147,148,A-1,highway,0,1,0
148,149,A-1,highway,0,0,0
149,150,A-1,highway,0,1,0
150,151,A-1,highway,0,1,1
151,152,A-1,highway,0,1,1
152,153,A-1,highway,0,1,0
153,154,A-1,highway,0,0,1
154,155,A-1,highway,1,1,1
155,156,A-1,highway,0,0,0
156,157,A-1,highway,0,0,0
157,158,A-1,highway,0,1,1
158,159,A-1,highway,0,1,1
159,160,A-1,highway,0,0,0
160,161,A-1,highway,0,1,1
161,162,A-1,highway,0,1,1
162,163,A-1,highway,0,1,0
163,164,A-1,highway,0,0,0
164,165,A-1,highway,1,1,0
165,166,A-1,highway,0,1,0
166,167,A-1,highway,0,0,1
167,168,A-1,highway,0,1,0
168,169,A-1,highway,0,0,0
169,170,A-1,highway,0,1,0
170,171,A-1,highway,0,0,0
171,172,A-1,highway,0,1,1
172,173,A-1,highway,0,1,1
173,174,A-1,highway,0,1,0
174,175,A-1,highway,0,1,1
175,176,A-1,highway,0,0,0
176,177,A-1,highway,0,0,0
177,178,A-1,highway,1,1,0
178,179,A-1,highway,0,0,0
179,180,A-1,highway,0,1,0
180,181,A-1,highway,1,1,0
181,182,A-1,highway,0,1,0
182,183,A-1,highway,0,0,0
183,184,A-1,highway,0,0,0
184,185,A-1,highway,0,0,0
185,186,A-1,highway,1,1,0
186,187,A-1,highway,0,0,0
187,188,A-1,highway,0,1,1
188,189,A-1,highway,0,1,0
189,190,A-1,highway,0,0,0
190,191,A-1,highway,0,0,0
191,192,A-1,highway,0,0,0
192,193,A-1,highway,0,0,0
193,194,A-1,highway,0,0,1
194,195,A-1,highway,0,1,0
195,196,A-1,highway,1,1,0
196,197,A-1,highway,0,0,1
197,198,A-1,highway,0,0,0
198,199,A-1,highway,0,1,0
199,200,A-1,highway,0,1,0
200,201,A-1,highway,0,1,1
201,202,A-1,highway,0,1,0
202,203,A-1,highway,1,1,0
203,204,A-1,highway,0,1,0
204,205,A-1,highway,0,1,0
205,206,A-1,highway,0,0,0
206,207,A-1,highway,0,0,0
207,208,A-1,highway,0,1,0
208,209,A-1,highway,0,1,1
209,210,A-1,highway,0,1,0
210,211,A-1,highway,1,1,0
211,212,A-1,highway,0,1,0
212,213,A-1,highway,0,1,0
213,214,A-1,highway,0,1,0
214,215,A-1,highway,0,1,0
215,216,A-1,highway,0,1,0
216,217,A-1,highway,0,1,0
217,218,A-1,highway,0,1,0
218,219,A-1,highway,1,0,0
219,220,A-1,highway,0,0,0
220,221,A-1,highway,0,1,0
221,222,A-1,highway,0,1,1
222,223,A-1,highway,0,0,0
223,224,A-1,highway,0,1,1
224,225,A-1,highway,0,1,0
225,226,A-1,highway,0,0,0
226,227,A-1,highway,0,1,0
227,228,A-1,highway,0,1,0
228,229,A-1,highway,0,0,0
229,230,A-1,highway,0,0,1
230,231,A-1,highway,0,1,0
231,232,A-1,highway,0,1,0
232,233,A-1,highway,0,1,1
233,234,A-1,highway,0,1,1
234,235,A-1,highway,0,1,1
235,236,A-1,highway,0,1,0
236,237,A-1,highway,0,1,1
237,238,A-1,highway,0,0,0
238,239,A-1,highway,1,0,1
239,240,A-1,highway,0,0,0
240,241,A-1,highway,0,1,1
241,242,A-1,highway,0,1,0
242,243,A-1,highway,0,1,1
243,244,A-1,highway,0,1,0
244,245,A-1,highway,0,1,0
245,246,A-1,highway,0,1,0
246,247,A-1,highway,0,0,0
247,248,A-1,highway,0,0,1
248,249,A-1,highway,0,0,0
249,250,A-1,highway,0,0,0
250,251,A-1,highway,0,0,0
251,252,A-1,highway,0,1,1
252,253,A-1,highway,0,1,0
253,254,A-1,highway,0,1,0
254,255,A-1,highway,1,0,0
255,256,A-1,highway,0,0,0
256,257,A-1,highway,0,1,1
257,258,A-1,highway,0,0,1
258,259,A-1,highway,0,0,1
259,260,A-1,highway,0,1,0
260,261,A-1,highway,0,1,1
261,262,A-1,highway,1,0,1
262,263,A-1,highway,0,1,0
263,264,A-1,highway,0,1,0
264,265,A-1,highway,0,0,1
265,266,A-1,highway,0,1,0
266,267,A-1,highway,0,0,1
267,268,A-1,highway,0,1,1
268,269,A-1,highway,0,0,1
269,270,A-1,highway,0,1,1
270,271,A-1,highway,0,1,0
271,272,A-1,highway,0,0,0
272,273,A-1,highway,0,1,1
273,274,A-1,highway,0,1,1
274,275,A-1,highway,0,0,0
275,276,A-1,highway,0,1,0
276,277,A-1,highway,0,1,0
277,278,A-1,highway,0,1,1
278,279,A-1,highway,0,1,0
279,280,A-1,highway,1,0,0
280,281,A-1,highway,0,0,0
281,282,A-1,highway,0,1,1
282,283,A-1,highway,0,1,0
283,284,A-1,highway,0,1,1
284,285,A-1,highway,0,0,0
285,286,A-1,highway,0,1,0
286,287,A-1,highway,1,1,1
287,288,A-1,highway,0,0,0
288,289,A-1,highway,0,0,0
289,290,A-1,highway,0,0,0
290,291,A-1,highway,0,0,0
291,292,A-1,highway,0,1,0
292,293,A-1,highway,0,0,0
293,294,A-1,highway,0,0,0
294,295,A-1,highway,0,1,1
295,296,A-1,highway,0,1,0
296,297,A-1,highway,0,0,0
297,298,A-1,highway,0,1,0
298,299,A-1,highway,0,1,0
299,300,A-1,highway,0,0,0
300,301,A-1,highway,1,1,1
301,302,A-1,highway,0,1,1
302,303,A-1,highway,0,1,0
303,304,A-1,highway,0,1,0
304,305,A-1,highway,0,0,0
305,306,A-1,highway,0,1,1
306,307,A-1,highway,0,1,1
307,308,A-1,highway,0,0,1
308,309,A-1,highway,0,0,0
309,310,A-1,highway,1,1,0
310,311,A-1,highway,0,1,0
311,312,A-1,highway,0,0,0
312,313,A-1,highway,0,1,1
313,314,A-1,highway,0,1,0
314,315,A-1,highway,0,1,0
315,316,A-1,highway,0,1,0
316,317,A-1,highway,0,1,0
317,318,A-1,highway,0,1,1
318,319,A-1,highway,0,0,0
319,320,A-1,highway,0,0,1
320,321,A-1,highway,0,0,1
321,322,A-1,highway,0,1,1
322,323,A-1,highway,0,0,0
323,324,A-1,highway,0,0,1
324,325,A-1,highway,0,0,1
325,326,A-1,highway,0,1,0
326,327,A-1,highway,0,1,1
327,328,A-1,highway,0,1,0
328,329,A-1,highway,0,0,0
329,330,A-1,highway,1,1,0
330,331,A-1,highway,1,0,0
331,332,A-1,highway,1,0,0
332,333,A-1,highway,0,0,0
333,334,A-1,highway,0,1,0
334,335,A-1,highway,0,1,0
335,336,A-1,highway,0,1,0
336,337,A-1,highway,0,1,0
105,106,A-11,highway,0,1,0
106,107,A-11,highway,0,1,0
107,108,A-11,highway,0,1,0
108,109,A-11,highway,0,1,0
109,110,A-11,highway,1,1,0
110,111,A-11,highway,0,1,1
111,112,A-11,highway,0,1,0
112,113,A-11,highway,0,0,0
113,114,A-11,highway,0,0,0
114,115,A-11,highway,0,0,0
115,116,A-11,highway,0,0,0
116,117,A-11,highway,0,0,0
117,118,A-11,highway,0,1,0
118,119,A-11,highway,0,1,1
119,120,A-11,highway,0,0,0
120,121,A-11,highway,0,0,1
121,122,A-11,highway,0,1,0
122,123,A-11,highway,0,0,1
123,124,A-11,highway,0,1,0
124,125,A-11,highway,0,0,0
125,126,A-11,highway,0,0,0
126,127,A-11,highway,1,0,0
127,128,A-11,highway,0,0,0
128,129,A-11,highway,0,0,0
129,130,A-11,highway,0,1,0
130,131,A-11,highway,0,1,0
131,132,A-11,highway,0,1,1
132,133,A-11,highway,0,0,0
133,134,A-11,highway,0,1,0
134,135,A-11,highway,0,0,0
135,136,A-11,highway,0,0,0
136,137,A-11,highway,0,1,0
137,138,A-11,highway,0,1,0
138,139,A-11,highway,0,1,0
139,140,A-11,highway,0,1,0
140,141,A-11,highway,0,0,0
141,142,A-11,highway,0,1,1
142,143,A-11,highway,0,1,0
143,144,A-11,highway,0,1,1
144,145,A-11,highway,0,1,1
145,146,A-11,highway,0,1,1
146,147,A-11,highway,0,0,0
147,148,A-11,highway,0,0,0
148,149,A-11,highway,0,0,1
149,150,A-11,highway,0,1,1
150,151,A-11,highway,0,0,1
151,152,A-11,highway,0,0,1
152,153,A-11,highway,0,1,1
153,154,A-11,highway,1,0,0
154,155,A-11,highway,0,0,0
155,156,A-11,highway,0,0,0
156,157,A-11,highway,0,0,0
157,158,A-11,highway,0,1,1
158,159,A-11,highway,0,1,1
159,160,A-11,highway,0,1,1
160,161,A-11,highway,0,1,0
161,162,A-11,highway,0,1,0
162,163,A-11,highway,0,0,1
163,164,A-11,highway,1,0,1
164,165,A-11,highway,0,1,0
165,166,A-11,highway,0,1,1
166,167,A-11,highway,0,1,1
167,168,A-11,highway,0,1,0
168,169,A-11,highway,1,1,0
169,170,A-11,highway,0,1,0
170,171,A-11,highway,0,1,0
171,172,A-11,highway,0,1,0
172,173,A-11,highway,0,1,0
173,174,A-11,highway,1,1,0
174,175,A-11,highway,0,0,0
175,176,A-11,highway,1,1,0
176,177,A-11,highway,0,1,1
177,178,A-11,highway,0,0,1
178,179,A-11,highway,0,1,1
179,180,A-11,highway,0,0,0
180,181,A-11,highway,0,1,0
181,182,A-11,highway,0,0,0
182,183,A-11,highway,0,1,0
183,184,A-11,highway,0,0,1
184,185,A-11,highway,0,0,0
185,186,A-11,highway,1,1,0
186,187,A-11,highway,0,0,0
187,188,A-11,highway,1,1,1
188,189,A-11,highway,0,1,0
189,190,A-11,highway,1,0,1
190,191,A-11,highway,1,1,0
191,192,A-11,highway,0,0,1
192,193,A-11,highway,0,1,1
193,194,A-11,highway,1,1,0
194,195,A-11,highway,0,1,0
195,196,A-11,highway,0,1,1
196,197,A-11,highway,0,1,0
197,198,A-11,highway,0,1,1
198,199,A-11,highway,0,1,0
199,200,A-11,highway,0,0,0
200,201,A-11,highway,0,1,0
201,202,A-11,highway,0,0,0
202,203,A-11,highway,0,0,0
203,204,A-11,highway,0,1,0
204,205,A-11,highway,0,1,0
205,206,A-11,highway,0,0,0
206,207,A-11,highway,0,0,1
207,208,A-11,highway,0,1,0
208,209,A-11,highway,1,0,0
209,210,A-11,highway,0,0,0
210,211,A-11,highway,0,0,1
211,212,A-11,highway,0,0,0
212,213,A-11,highway,0,1,0
213,214,A-11,highway,0,1,1
214,215,A-11,highway,0,0,0
215,216,A-11,highway,0,1,0
216,217,A-11,highway,0,1,0
217,218,A-11,highway,0,1,0
218,219,A-11,highway,1,0,1
219,220,A-11,highway,0,1,0
220,221,A-11,highway,0,0,1
221,222,A-11,highway,0,1,1
222,223,A-11,highway,0,1,0
223,224,A-11,highway,0,1,0
224,225,A-11,highway,0,0,1
225,226,A-11,highway,0,0,0
226,227,A-11,highway,0,0,0
227,228,A-11,highway,0,1,1
228,229,A-11,highway,0,0,1
229,230,A-11,highway,1,1,0
230,231,A-11,highway,0,0,0
231,232,A-11,highway,0,0,1
232,233,A-11,highway,0,1,0
233,234,A-11,highway,0,1,0
234,235,A-11,highway,0,0,0
235,236,A-11,highway,0,1,1
236,237,A-11,highway,0,1,0
237,238,A-11,highway,0,0,0
238,239,A-11,highway,0,0,1
239,240,A-11,highway,1,0,0
240,241,A-11,highway,0,0,0
241,242,A-11,highway,0,0,0
242,243,A-11,highway,1,1,0
243,244,A-11,highway,0,1,0
244,245,A-11,highway,0,1,0
245,246,A-11,highway,0,0,0
246,247,A-11,highway,0,1,0
247,248,A-11,highway,0,1,1
248,249,A-11,highway,0,1,0
249,250,A-11,highway,0,1,1
250,251,A-11,highway,0,1,0
251,252,A-11,highway,0,0,1
252,253,A-11,highway,0,0,1
253,254,A-11,highway,0,1,0
254,255,A-11,highway,0,1,0
255,256,A-11,highway,0,0,1
256,257,A-11,highway,1,1,0
257,258,A-11,highway,0,1,0
258,259,A-11,highway,0,1,0
259,260,A-11,highway,0,1,0
260,261,A-11,highway,0,0,1
261,262,A-11,highway,0,0,1
262,263,A-11,highway,0,0,0
263,264,A-11,highway,0,1,1
264,265,A-11,highway,0,0,0
265,266,A-11,highway,0,1,0
266,267,A-11,highway,0,1,1
267,268,A-11,highway,0,1,0
268,269,A-11,highway,0,1,0
269,270,A-11,highway,0,1,1
270,271,A-11,highway,0,0,1
271,272,A-11,highway,0,0,0
272,273,A-11,highway,0,0,1
273,274,A-11,highway,0,1,0
274,275,A-11,highway,0,1,0
275,276,A-11,highway,0,0,0
276,277,A-11,highway,0,0,0
277,278,A-11,highway,0,1,0
278,279,A-11,highway,0,1,0
279,280,A-11,highway,0,1,0
280,281,A-11,highway,0,1,0
281,282,A-11,highway,0,1,0
282,283,A-11,highway,0,1,1
283,284,A-11,highway,0,0,0
284,285,A-11,highway,0,0,0
285,286,A-11,highway,0,0,0
286,287,A-11,highway,0,1,1
287,288,A-11,highway,0,1,0
288,289,A-11,highway,0,1,0
289,290,A-11,highway,0,1,0
290,291,A-11,highway,1,0,1
291,292,A-11,highway,0,0,0
292,293,A-11,highway,0,0,0
293,294,A-11,highway,0,1,1
294,295,A-11,highway,0,1,0
295,296,A-11,highway,0,0,1
296,297,A-11,highway,1,1,1
297,298,A-11,highway,0,1,1
298,299,A-11,highway,0,1,0
299,300,A-11,highway,0,0,1
300,301,A-11,highway,0,0,1
301,302,A-11,highway,0,1,1
302,303,A-11,highway,0,1,1
303,304,A-11,highway,1,1,0
304,305,A-11,highway,0,1,0
305,306,A-11,highway,0,1,0
306,307,A-11,highway,0,0,1
307,308,A-11,highway,0,0,0
308,309,A-11,highway,0,0,1
309,310,A-11,highway,0,1,0
310,311,A-11,highway,0,1,0
311,312,A-11,highway,0,1,0
312,313,A-11,highway,0,1,1
313,314,A-11,highway,0,1,1
314,315,A-11,highway,0,1,0
315,316,A-11,highway,0,0,0
316,317,A-11,highway,0,1,1
317,318,A-11,highway,0,0,0
318,319,A-11,highway,0,0,0
319,320,A-11,highway,1,1,1
320,321,A-11,highway,0,0,0
321,322,A-11,highway,0,1,1
322,323,A-11,highway,0,1,0
323,324,A-11,highway,0,0,1
324,325,A-11,highway,0,1,1
325,326,A-11,highway,0,1,1
326,327,A-11,highway,0,0,0
327,328,A-11,highway,0,0,1
328,329,A-11,highway,0,0,1
329,330,A-11,highway,0,0,1
330,331,A-11,highway,0,1,1
331,332,A-11,highway,0,1,0
332,333,A-11,highway,0,0,1
333,334,A-11,highway,0,0,0
334,335,A-11,highway,1,1,1
335,336,A-11,highway,0,1,0
336,337,A-11,highway,0,1,0
337,338,A-11,highway,0,0,0
338,339,A-11,highway,0,1,0
339,340,A-11,highway,0,1,1
340,341,A-11,highway,0,0,0
341,342,A-11,highway,0,1,0
342,343,A-11,highway,0,1,0
343,344,A-11,highway,0,1,0
344,345,A-11,highway,1,1,0
345,346,A-11,highway,0,0,1
346,347,A-11,highway,0,0,1
347,348,A-11,highway,0,0,1
348,349,A-11,highway,0,1,0
349,350,A-11,highway,0,0,0
350,351,A-11,highway,0,1,0
351,352,A-11,highway,0,0,1
352,353,A-11,highway,0,1,0
353,354,A-11,highway,1,0,0
354,355,A-11,highway,0,1,0
355,356,A-11,highway,0,0,1
356,357,A-11,highway,0,1,0
357,358,A-11,highway,0,0,0
358,359,A-11,highway,0,0,1
359,360,A-11,highway,0,1,0
360,361,A-11,highway,0,1,0
361,362,A-11,highway,0,1,1
362,363,A-11,highway,0,0,0
363,364,A-11,highway,0,0,0
364,365,A-11,highway,0,1,0
365,366,A-11,highway,0,1,0
366,367,A-11,highway,0,0,1
367,368,A-11,highway,1,1,0
368,369,A-11,highway,0,1,1
369,370,A-11,highway,0,0,0
370,371,A-11,highway,0,1,0
371,372,A-11,highway,0,1,0
372,373,A-11,highway,0,1,0
373,374,A-11,highway,1,0,0
374,375,A-11,highway,1,1,1
375,376,A-11,highway,0,1,0
376,377,A-11,highway,0,0,0
377,378,A-11,highway,0,0,1
378,379,A-11,highway,0,0,1
379,380,A-11,highway,0,0,0
380,381,A-11,highway,0,1,1
381,382,A-11,highway,0,0,0
382,383,A-11,highway,0,1,1
383,384,A-11,highway,0,1,0
384,385,A-11,highway,1,0,0
385,386,A-11,highway,0,1,0
386,387,A-11,highway,0,0,1
387,388,A-11,highway,0,0,0
388,389,A-11,highway,0,0,1
389,390,A-11,highway,0,1,1
390,391,A-11,highway,0,1,0
391,392,A-11,highway,0,1,1
392,393,A-11,highway,0,1,0
393,394,A-11,highway,0,0,0
394,395,A-11,highway,0,0,0
395,396,A-11,highway,0,0,1
396,397,A-11,highway,0,1,0
397,398,A-11,highway,0,1,0
398,399,A-11,highway,0,0,1
399,400,A-11,highway,0,1,0
400,401,A-11,highway,0,1,0
401,402,A-11,highway,0,1,1
402,403,A-11,highway,0,1,1
403,404,A-11,highway,1,1,1
404,405,A-11,highway,0,1,1
405,406,A-11,highway,0,1,0
406,407,A-11,highway,0,0,0
407,408,A-11,highway,0,1,1
408,409,A-11,highway,0,1,0
409,410,A-11,highway,0,1,1
410,411,A-11,highway,0,1,1
411,412,A-11,highway,0,1,0
412,413,A-11,highway,0,1,0
413,414,A-11,highway,0,1,1
414,415,A-11,highway,0,1,1
415,416,A-11,highway,0,1,0
416,417,A-11,highway,0,1,1
417,418,A-11,highway,0,1,0
418,419,A-11,highway,0,0,1
419,420,A-11,highway,0,0,0
420,421,A-11,highway,1,0,1
421,422,A-11,highway,0,1,1
422,423,A-11,highway,0,0,0
423,424,A-11,highway,0,1,0
424,425,A-11,highway,0,0,0
425,426,A-11,highway,0,1,0
426,427,A-11,highway,0,1,0
427,428,A-11,highway,1,1,1
428,429,A-11,highway,0,1,1
429,430,A-11,highway,0,0,0
430,431,A-11,highway,0,0,0
431,432,A-11,highway,0,1,0
432,433,A-11,highway,0,1,1
433,434,A-11,highway,0,1,0
434,435,A-11,highway,0,0,0
435,436,A-11,highway,0,1,0
436,437,A-11,highway,0,1,0
437,438,A-11,highway,0,0,0
438,439,A-11,highway,0,1,0
439,440,A-11,highway,0,1,1
440,441,A-11,highway,0,0,0
441,442,A-11,highway,0,1,1
442,443,A-11,highway,0,0,1
443,444,A-11,highway,0,1,0
444,445,A-11,highway,0,0,0
445,446,A-11,highway,0,0,1
446,447,A-11,highway,0,0,1
447,448,A-11,highway,0,1,0
448,449,A-11,highway,0,1,0
449,450,A-11,highway,0,1,1
450,451,A-11,highway,0,0,1
451,452,A-11,highway,1,1,1
452,453,A-11,highway,0,0,0
453,454,A-11,highway,0,0,0
454,455,A-11,highway,0,1,0
455,456,A-11,highway,0,0,1
456,457,A-11,highway,0,1,0
457,458,A-11,highway,0,0,0
458,459,A-11,highway,0,0,0
459,460,A-11,highway,0,1,1
460,461,A-11,highway,1,1,0
461,462,A-11,highway,1,1,1
462,463,A-11,highway,0,0,0
463,464,A-11,highway,0,1,0
464,465,A-11,highway,0,0,0
465,466,A-11,highway,0,1,0
466,467,A-11,highway,0,1,0
467,468,A-11,highway,0,0,1
76,77,A-12,highway,0,0,0
77,78,A-12,highway,0,0,1
78,79,A-12,highway,0,0,0
79,80,A-12,highway,0,0,0
80,81,A-12,highway,0,1,0
81,82,A-12,highway,0,0,0
82,83,A-12,highway,0,1,0
83,84,A-12,highway,0,0,0
84,85,A-12,highway,0,0,0
85,86,A-12,highway,0,1,0
86,87,A-12,highway,0,1,1
87,88,A-12,highway,0,1,1
88,89,A-12,highway,1,0,1
89,90,A-12,highway,0,1,0
90,91,A-12,highway,0,0,1
91,92,A-12,highway,0,1,0
92,93,A-12,highway,0,0,0
93,94,A-12,highway,0,0,0
94,95,A-12,highway,0,1,0
95,96,A-12,highway,1,1,0
96,97,A-12,highway,0,0,0
97,98,A-12,highway,0,0,1
98,99,A-12,highway,0,0,0
99,100,A-12,highway,0,0,0
100,101,A-12,highway,1,0,1
101,102,A-12,highway,0,0,1
102,103,A-12,highway,0,0,1
103,104,A-12,highway,0,1,0
104,105,A-12,highway,0,0,0
105,106,A-12,highway,0,0,0
106,107,A-12,highway,0,1,0
107,108,A-12,highway,0,1,0
108,109,A-12,highway,0,1,0
109,110,A-12,highway,0,1,1
110,111,A-12,highway,0,0,0
111,112,A-12,highway,0,0,0
112,113,A-12,highway,0,1,1
113,114,A-12,highway,0,1,0
114,115,A-12,highway,0,1,1
115,116,A-12,highway,0,0,0
116,117,A-12,highway,0,0,0
117,118,A-12,highway,0,1,0
118,119,A-12,highway,0,0,0
119,120,A-12,highway,0,1,1
120,121,A-12,highway,0,0,1
121,122,A-12,highway,0,1,1
122,123,A-12,highway,0,0,0
123,124,A-12,highway,0,1,1
124,125,A-12,highway,1,0,1
125,126,A-12,highway,0,0,0
126,127,A-12,highway,0,0,0
127,128,A-12,highway,0,0,1
128,129,A-12,highway,0,0,1
129,130,A-12,highway,0,1,0
130,131,A-12,highway,0,0,1
131,132,A-12,highway,1,0,0
0,1,A-13,highway,0,1,0
1,2,A-13,highway,0,1,1
2,3,A-13,highway,0,1,0
3,4,A-13,highway,0,1,0
4,5,A-13,highway,1,1,0
5,6,A-13,highway,0,1,0
6,7,A-14,highway,0,1,1
7,8,A-14,highway,0,1,0
8,9,A-14,highway,0,0,0
9,10,A-14,highway,0,1,0
10,11,A-14,highway,0,1,1
11,12,A-14,highway,0,0,0
12,13,A-14,highway,0,1,0
13,14,A-14,highway,0,1,0
14,15,A-14,highway,0,1,0
15,16,A-14,highway,0,1,1
16,17,A-14,highway,0,1,0
0,1,A-14-R2,highway,0,1,1
1,2,A-14-R2,highway,0,0,1
2,3,A-14-R2,highway,1,1,1
0,1,A-15,highway,0,1,0
1,2,A-15,highway,1,1,0
2,3,A-15,highway,0,1,1
3,4,A-15,highway,0,0,0
4,5,A-15,highway,0,0,0
5,6,A-15,highway,1,0,1
6,7,A-15,highway,0,1,0
7,8,A-15,highway,1,0,0
8,9,A-15,highway,0,0,1
9,10,A-15,highway,0,0,1
10,11,A-15,highway,0,0,0
11,12,A-15,highway,0,0,0
12,13,A-15,highway,0,1,0
13,14,A-15,highway,0,1,0
14,15,A-15,highway,0,1,1
15,16,A-15,highway,0,0,0
16,17,A-15,highway,0,1,0
17,18,A-15,highway,0,0,0
18,19,A-15,highway,0,0,0
19,20,A-15,highway,1,1,0
20,21,A-15,highway,0,1,1
21,22,A-15,highway,0,0,0
22,23,A-15,highway,0,0,1
23,24,A-15,highway,0,0,0
24,25,A-15,highway,0,1,0
25,26,A-15,highway,0,1,1
26,27,A-15,highway,0,0,1
27,28,A-15,highway,0,0,0
28,29,A-15,highway,1,1,0
29,30,A-15,highway,0,1,1
30,31,A-15,highway,0,0,1
31,32,A-15,highway,0,1,0
32,33,A-15,highway,0,1,0
33,34,A-15,highway,0,1,0
34,35,A-15,highway,0,1,1
35,36,A-15,highway,0,0,1
36,37,A-15,highway,1,0,0
37,38,A-15,highway,0,1,0
38,39,A-15,highway,0,1,1
39,40,A-15,highway,0,0,0
40,41,A-15,highway,0,1,0
41,42,A-15,highway,0,0,1
42,43,A-15,highway,0,1,0
43,44,A-15,highway,1,0,0
44,45,A-15,highway,0,0,0
45,46,A-15,highway,0,0,0
46,47,A-15,highway,0,1,0
47,48,A-15,highway,0,1,0
48,49,A-15,highway,0,0,1
49,50,A-15,highway,0,1,0
50,51,A-15,highway,0,1,0
51,52,A-15,highway,0,0,0
52,53,A-15,highway,0,1,0
53,54,A-15,highway,0,1,1
54,55,A-15,highway,0,0,1
55,56,A-15,highway,0,0,0
